nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
UPX Campinas Data Center;UPX Technologies;Rua Guapuruvu, 200 - Lot. Alphaville;13098-322;Campinas;Sao Paulo;Brazil;-22.8234811;-47.0358236;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/upx-campinas/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
VSP Solution Belo Horizonte;VSP Solution;Av. Raja Gabáglia, 3348 - Estoril;30494310;Belo Horizonte;Minas Gerais;Brazil;-19.9636041;-43.9563523;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/belo-horizonte/valspe/;;;;;;Retrofitted;Multi-tenant (mixed use);;;;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;0;0;1;1;0;0;0;0;0;;;ok;ok
VISÃO DATACENTER LTDA ;VISÃO DATACENTER LTDA ;Av Giacomo Lunardi ;89825000;Xaxim;Santa Catarina;Brazil;-26.9570441;-52.5312175;1;2;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/xaxim/viso-datacenter/;1;1;5382;5382;2004;Purpose-built;Multi-tenant (mixed use);100000;N+1;1;1;1;3;;2;1;;;1;;;;;;1;1;1;1;1;1;1;;0;1;1;1;0;0;0;0;0;;;ok;ok
Vivo Tamboré 1 Data Center;Vivo;Av. Marcos Penteado de Ulhôa Rodrigues, 1690;06543-001;Santana de Parnaíba;;Brazil;-23.4682053921407;-46.85827621448955;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/vivo-tambore-1-data-center/;7.2;7.2;2300;2300;;;;;;;;;3;3;;;;;1;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Vix DataCenter;ConectJá Telecomunicações;R. Sérgio Cardoso, 75 - Dom Bosco;29147-350;Cariacica;;Brazil;-20.3353451;-40.3907822;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/vitoria/vix-datacenter/;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;1;1;1;0;0;1;;;0;0;1;0;0;1;0;0;;15163;ok;ok
Tecto Big Lobster;Tecto Data Centers;R. Raimundo Esteves, 333 - Antonio Diogo;60182-330;Fortaleza;;Brazil;-3.735477458733797;-38.45801750928638;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/fortaleza/vtal-big-lobster/;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;134;2;0;;5304;bloqueado;ok
Tecto Mega Lobster;Tecto Data Centers;Av. Dioguinho & R. Francisco Montenegro;60183-713;Fortaleza;;Brazil;-3.754739812813852;-38.44731951896043;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/fortaleza/vtal-mega-lobster/;20;20;;;2025;Purpose-built;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Tecto V.OA;Tecto Data Centers;Rua Frederico Mentz, 1115;90240-110;Porto Alegre;;Brazil;-29.99154555280535;-51.2015380880618;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/vtal-voa/;6;6;;;;Retrofitted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
NETWISE EMPRESAS;NETWISE EMPRESAS;Rua Edson Rezende, 206;35592094;Lagoa da Prata;Minas Gerais;Brazil;-20.0346344;-45.5247215;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/lagoa-da-prata/wise-data/;0.0845;0.0845;;;2024;Purpose-built;Sole-tenant;5000;2N+1;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Yamna Porto do Açu;Yamna;TBA - To Be Announced;28200;São João da Barra;;Brazil;-21.835768078438747;-41.044136664682156;1;-1;Land;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/rio-de-janeiro/yamna-porto-do-au/;250;250;;;;Purpose-built;Multi-tenant (data centers only);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok
