site_id,ano,classe_id,classe_nome,area_landsat_ha,area_s2_nativo_ha,area_s2_agregado30_ha,diff_total_ha,diff_total_pp,diff_resolucao_ha,diff_resolucao_pp,diff_sensor_isolado_ha,diff_sensor_isolado_pp
clickip-manaus,2019,4,construida_urbana,5611.86,6925.58,7099.11,1313.72,12.9669,173.53,1.7232,1487.25,14.6902
clickip-manaus,2019,5,agua,75.24,12.32,10.89,-62.92,-0.6259,-1.43,-0.0142,-64.35,-0.6401
clickip-manaus,2020,1,vegetacao_densa,2383.47,2193.71,2213.01,-189.76,-1.8844,19.3,0.1917,-170.46,-1.6927
clickip-manaus,2020,2,vegetacao_rala,905.49,632.99,552.96,-272.5,-2.706,-80.03,-0.7947,-352.53,-3.5008
clickip-manaus,2020,3,solo_exposto_obras,318.78,470.43,327.06,151.65,1.5059,-143.37,-1.4237,8.28,0.0822
clickip-manaus,2020,4,construida_urbana,6310.62,6761.4,6967.8,450.78,4.4764,206.4,2.0496,657.18,6.5261
clickip-manaus,2020,5,agua,151.74,11.57,9.27,-140.17,-1.3919,-2.3,-0.0228,-142.47,-1.4148
clickip-manaus,2021,1,vegetacao_densa,2667.96,2212.17,2231.73,-455.79,-4.5262,19.56,0.1942,-436.23,-4.3319
clickip-manaus,2021,2,vegetacao_rala,1006.83,489.2,409.86,-517.63,-5.1403,-79.34,-0.7879,-596.97,-5.9281
clickip-manaus,2021,3,solo_exposto_obras,429.21,339.27,239.4,-89.94,-0.8931,-99.87,-0.9917,-189.81,-1.8849
clickip-manaus,2021,4,construida_urbana,5924.16,7018.7,7180.11,1094.54,10.8692,161.41,1.6029,1255.95,12.4721
clickip-manaus,2021,5,agua,41.94,10.76,9.0,-31.18,-0.3096,-1.76,-0.0175,-32.94,-0.3271
equinix-santana-parnaiba,2019,1,vegetacao_densa,5155.65,4977.12,5056.74,-178.53,-1.7729,79.62,0.7907,-98.91,-0.9822
equinix-santana-parnaiba,2019,2,vegetacao_rala,1121.49,931.22,852.75,-190.27,-1.8895,-78.47,-0.7792,-268.74,-2.6687
equinix-santana-parnaiba,2019,3,solo_exposto_obras,277.02,303.92,166.5,26.9,0.2671,-137.42,-1.3646,-110.52,-1.0975
equinix-santana-parnaiba,2019,4,construida_urbana,2961.09,3524.86,3725.64,563.77,5.5985,200.78,1.9938,764.55,7.5923
equinix-santana-parnaiba,2019,5,agua,554.85,332.98,268.47,-221.87,-2.2033,-64.51,-0.6406,-286.38,-2.8439
equinix-santana-parnaiba,2020,1,vegetacao_densa,4874.04,4581.9,4651.92,-292.14,-2.9045,70.02,0.6953,-222.12,-2.2092
equinix-santana-parnaiba,2020,2,vegetacao_rala,1267.74,1077.15,1010.52,-190.59,-1.8935,-66.63,-0.6617,-257.22,-2.5552
equinix-santana-parnaiba,2020,3,solo_exposto_obras,274.14,334.43,186.93,60.29,0.5985,-147.5,-1.4647,-87.21,-0.8662
equinix-santana-parnaiba,2020,4,construida_urbana,2814.3,3800.12,4005.45,985.82,9.7876,205.33,2.039,1191.15,11.8266
equinix-santana-parnaiba,2020,5,agua,839.16,276.5,215.28,-562.66,-5.588,-61.22,-0.6079,-623.88,-6.196
equinix-santana-parnaiba,2021,1,vegetacao_densa,4628.7,4355.69,4412.79,-273.01,-2.7156,57.1,0.567,-215.91,-2.1486
equinix-santana-parnaiba,2021,2,vegetacao_rala,1240.65,1081.83,1023.75,-158.82,-1.5784,-58.08,-0.5768,-216.9,-2.1551
equinix-santana-parnaiba,2021,3,solo_exposto_obras,343.98,364.95,208.71,20.97,0.2079,-156.24,-1.5515,-135.27,-1.3436
equinix-santana-parnaiba,2021,4,construida_urbana,3231.45,3995.81,4205.61,764.36,7.5872,209.8,2.0834,974.16,9.6706
equinix-santana-parnaiba,2021,5,agua,624.33,271.82,219.24,-352.51,-3.5012,-52.58,-0.5221,-405.09,-4.0233
everest-goiania,2019,1,vegetacao_densa,1490.94,1356.29,1378.71,-134.65,-1.3411,22.42,0.2233,-112.23,-1.1178
everest-goiania,2019,2,vegetacao_rala,2142.27,1326.74,1142.73,-815.53,-8.1228,-184.01,-1.8328,-999.54,-9.9555
everest-goiania,2019,3,solo_exposto_obras,721.35,534.98,195.57,-186.37,-1.8563,-339.41,-3.3806,-525.78,-5.2368
everest-goiania,2019,4,construida_urbana,5372.91,6672.11,7220.97,1299.2,12.9402,548.86,5.4667,1848.06,18.4069
everest-goiania,2019,5,agua,312.57,149.92,102.06,-162.65,-1.62,-47.86,-0.4767,-210.51,-2.0967
everest-goiania,2020,1,vegetacao_densa,1452.69,1259.02,1284.84,-193.67,-1.929,25.82,0.2572,-167.85,-1.6718
everest-goiania,2020,2,vegetacao_rala,2131.29,1336.45,1150.56,-794.84,-7.9167,-185.89,-1.8515,-980.73,-9.7682
everest-goiania,2020,3,solo_exposto_obras,777.24,678.78,331.74,-98.46,-0.9807,-347.04,-3.4566,-445.5,-4.4372
everest-goiania,2020,4,construida_urbana,5417.82,6616.81,7169.67,1198.99,11.9421,552.86,5.5066,1751.85,17.4486
everest-goiania,2020,5,agua,261.0,148.98,103.23,-112.02,-1.1157,-45.75,-0.4557,-157.77,-1.5714
everest-goiania,2021,1,vegetacao_densa,1332.72,1190.31,1219.5,-142.41,-1.4184,29.19,0.2907,-113.22,-1.1277
everest-goiania,2021,2,vegetacao_rala,1879.29,1236.53,1104.39,-642.76,-6.402,-132.14,-1.3161,-774.9,-7.7181
everest-goiania,2021,3,solo_exposto_obras,858.33,730.83,380.61,-127.5,-1.2699,-350.22,-3.4882,-477.72,-4.7581
everest-goiania,2021,4,construida_urbana,5681.7,6736.24,7235.73,1054.54,10.5033,499.49,4.975,1554.03,15.4783
everest-goiania,2021,5,agua,288.0,146.13,99.81,-141.87,-1.413,-46.32,-0.4614,-188.19,-1.8744
hostdime-joao-pessoa,2019,1,vegetacao_densa,2624.13,2536.2,2579.31,-87.93,-2.3395,43.11,0.4294,-44.82,-1.9101
hostdime-joao-pessoa,2019,2,vegetacao_rala,2182.95,500.9,356.4,-1682.05,-17.971,-144.5,-1.4392,-1826.55,-19.4103
hostdime-joao-pessoa,2019,3,solo_exposto_obras,516.33,345.33,154.89,-171.0,-1.9912,-190.44,-1.8968,-361.44,-3.888
hostdime-joao-pessoa,2019,4,construida_urbana,2013.3,4550.28,4855.41,2536.98,24.1456,305.13,3.0391,2842.11,27.1848
hostdime-joao-pessoa,2019,5,agua,2170.89,2107.33,2094.03,-63.56,-1.8439,-13.3,-0.1325,-76.86,-1.9764
hostdime-joao-pessoa,2020,1,vegetacao_densa,2536.29,2606.09,2647.08,69.8,-0.2562,40.99,0.4083,110.79,0.1521
hostdime-joao-pessoa,2020,2,vegetacao_rala,2340.0,570.5,378.99,-1769.5,-18.5022,-191.51,-1.9075,-1961.01,-20.4097
hostdime-joao-pessoa,2020,3,solo_exposto_obras,625.14,298.1,134.73,-327.04,-3.4919,-163.37,-1.6272,-490.41,-5.119
hostdime-joao-pessoa,2020,4,construida_urbana,2068.38,4460.37,4787.19,2391.99,23.0486,326.82,3.2552,2718.81,26.3038
hostdime-joao-pessoa,2020,5,agua,2105.82,2104.98,2092.05,-0.84,-0.7983,-12.93,-0.1288,-13.77,-0.9271
hostdime-joao-pessoa,2021,1,vegetacao_densa,2562.39,2557.89,2601.9,-4.5,-2.443,44.01,0.4383,39.51,-2.0046
hostdime-joao-pessoa,2021,2,vegetacao_rala,1848.33,512.82,354.42,-1335.51,-15.0317,-158.4,-1.5777,-1493.91,-16.6094
hostdime-joao-pessoa,2021,3,solo_exposto_obras,549.0,291.56,118.8,-257.44,-3.0779,-172.76,-1.7207,-430.2,-4.7987
hostdime-joao-pessoa,2021,4,construida_urbana,2255.22,4563.51,4867.02,2308.29,20.8802,303.51,3.023,2611.8,23.9032
hostdime-joao-pessoa,2021,5,agua,1962.72,2114.26,2097.9,151.54,-0.3276,-16.36,-0.1629,135.18,-0.4905
odata-hortolandia,2019,1,vegetacao_densa,2457.99,2070.74,2084.31,-387.25,-3.8588,13.57,0.1352,-373.68,-3.7237
odata-hortolandia,2019,2,vegetacao_rala,3356.19,3078.48,3063.06,-277.71,-2.7684,-15.42,-0.1536,-293.13,-2.922
odata-hortolandia,2019,3,solo_exposto_obras,382.95,422.48,254.97,39.53,0.3934,-167.51,-1.6684,-127.98,-1.275
odata-hortolandia,2019,4,construida_urbana,3657.33,4375.87,4560.93,718.54,7.1541,185.06,1.8432,903.6,8.9974
odata-hortolandia,2019,5,agua,184.86,92.47,76.77,-92.39,-0.9203,-15.7,-0.1564,-108.09,-1.0767
odata-hortolandia,2020,1,vegetacao_densa,2176.65,1758.71,1776.69,-417.94,-4.1629,17.98,0.1791,-399.96,-3.9838
odata-hortolandia,2020,2,vegetacao_rala,3502.98,3303.38,3292.65,-199.6,-1.9884,-10.73,-0.1069,-210.33,-2.0952
odata-hortolandia,2020,3,solo_exposto_obras,443.97,517.8,317.52,73.83,0.7353,-200.28,-1.9948,-126.45,-1.2595
odata-hortolandia,2020,4,construida_urbana,3726.45,4370.06,4577.76,643.61,6.4101,207.7,2.0687,851.31,8.4788
odata-hortolandia,2020,5,agua,189.9,90.09,75.42,-99.81,-0.9941,-14.67,-0.1461,-114.48,-1.1403
odata-hortolandia,2021,1,vegetacao_densa,1712.34,1444.99,1463.31,-267.35,-2.6638,18.32,0.1825,-249.03,-2.4813
odata-hortolandia,2021,2,vegetacao_rala,3416.04,3325.72,3326.13,-90.32,-0.9014,0.41,0.0041,-89.91,-0.8973
odata-hortolandia,2021,3,solo_exposto_obras,546.75,551.92,346.5,5.17,0.0512,-205.42,-2.046,-200.25,-1.9948
odata-hortolandia,2021,4,construida_urbana,4181.76,4633.07,4831.56,451.31,4.4929,198.49,1.977,649.8,6.4698
odata-hortolandia,2021,5,agua,182.61,84.34,72.54,-98.27,-0.9789,-11.8,-0.1175,-110.07,-1.0964
scala-sgigsm01,2019,1,vegetacao_densa,725.13,643.36,634.05,-81.77,-0.8203,-9.31,-0.0925,-91.08,-0.9128
scala-sgigsm01,2019,2,vegetacao_rala,353.25,356.08,317.43,2.83,0.0241,-38.65,-0.3838,-35.82,-0.3598
scala-sgigsm01,2019,3,solo_exposto_obras,614.97,514.92,192.51,-100.05,-1.0006,-322.41,-3.2017,-422.46,-4.2022
scala-sgigsm01,2019,4,construida_urbana,7959.15,8449.34,8845.11,490.19,4.7765,395.77,3.9301,885.96,8.7067
scala-sgigsm01,2019,5,agua,405.99,106.4,81.0,-299.59,-2.9797,-25.4,-0.2522,-324.99,-3.2319
scala-sgigsm01,2020,1,vegetacao_densa,711.54,654.68,649.35,-56.86,-0.5646,-5.33,-0.0529,-62.19,-0.6176
