site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
ascenty-sumare,2019,4,construida_urbana,4703.13,4456.44,2796.11,-1907.02,-18.9374,-246.69,-1660.33,6.73,NAO_DISTINGUIVEL
ascenty-sumare,2019,5,agua,50.4,50.85,85.52,35.12,0.3488,0.45,34.67,77.044,NAO_DISTINGUIVEL
ascenty-sumare,2020,1,vegetacao_densa,343.98,392.13,597.13,253.15,2.5139,48.15,205.0,4.258,NAO_DISTINGUIVEL
ascenty-sumare,2020,2,vegetacao_rala,4740.12,4636.62,4549.63,-190.49,-1.8916,-103.5,-86.99,0.84,NAO_DISTINGUIVEL
ascenty-sumare,2020,3,solo_exposto_obras,232.47,216.81,1991.07,1758.6,17.4636,-15.66,1774.26,113.299,NAO_DISTINGUIVEL
ascenty-sumare,2020,4,construida_urbana,4703.13,4779.45,2853.43,-1849.7,-18.3682,76.32,-1926.02,25.236,NAO_DISTINGUIVEL
ascenty-sumare,2020,5,agua,50.4,45.09,78.84,28.44,0.2824,-5.31,33.75,6.356,NAO_DISTINGUIVEL
ascenty-sumare,2021,1,vegetacao_densa,343.98,192.69,507.87,163.89,1.6275,-151.29,315.18,2.083,NAO_DISTINGUIVEL
ascenty-sumare,2021,2,vegetacao_rala,4740.12,4397.94,4524.39,-215.73,-2.1423,-342.18,126.45,0.37,DISTINGUIVEL
ascenty-sumare,2021,3,solo_exposto_obras,232.47,224.37,2092.82,1860.35,18.474,-8.1,1868.45,230.673,NAO_DISTINGUIVEL
ascenty-sumare,2021,4,construida_urbana,4703.13,5211.09,2865.91,-1837.22,-18.2443,507.96,-2345.18,4.617,NAO_DISTINGUIVEL
ascenty-sumare,2021,5,agua,50.4,44.01,79.11,28.71,0.2851,-6.39,35.1,5.493,NAO_DISTINGUIVEL
ascenty-vinhedo,2019,1,vegetacao_densa,1497.69,2262.78,2220.9,723.21,7.1794,765.09,-41.88,0.055,DISTINGUIVEL
ascenty-vinhedo,2019,2,vegetacao_rala,5900.22,5385.78,5317.03,-583.19,-5.8007,-514.44,-68.75,0.134,DISTINGUIVEL
ascenty-vinhedo,2019,3,solo_exposto_obras,86.58,60.48,1044.47,957.89,9.5121,-26.1,983.99,37.701,NAO_DISTINGUIVEL
ascenty-vinhedo,2019,4,construida_urbana,2468.43,2240.37,1314.36,-1154.07,-11.4643,-228.06,-926.01,4.06,NAO_DISTINGUIVEL
ascenty-vinhedo,2019,5,agua,115.56,120.24,173.34,57.78,0.5736,4.68,53.1,11.346,NAO_DISTINGUIVEL
ascenty-vinhedo,2020,1,vegetacao_densa,1497.69,2003.76,1724.78,227.09,2.2527,506.07,-278.98,0.551,NAO_DISTINGUIVEL
ascenty-vinhedo,2020,2,vegetacao_rala,5900.22,5641.38,5562.05,-338.17,-3.3676,-258.84,-79.33,0.306,DISTINGUIVEL
ascenty-vinhedo,2020,3,solo_exposto_obras,86.58,89.28,1334.94,1248.36,12.3966,2.7,1245.66,461.356,NAO_DISTINGUIVEL
ascenty-vinhedo,2020,4,construida_urbana,2468.43,2204.46,1281.44,-1186.99,-11.7912,-263.97,-923.02,3.497,NAO_DISTINGUIVEL
ascenty-vinhedo,2020,5,agua,115.56,121.59,166.89,51.33,0.5095,6.03,45.3,7.512,NAO_DISTINGUIVEL
ascenty-vinhedo,2021,1,vegetacao_densa,1497.69,1536.03,1671.82,174.13,1.7268,38.34,135.79,3.542,NAO_DISTINGUIVEL
ascenty-vinhedo,2021,2,vegetacao_rala,5900.22,5703.12,5617.84,-282.38,-2.8136,-197.1,-85.28,0.433,DISTINGUIVEL
ascenty-vinhedo,2021,3,solo_exposto_obras,86.58,95.85,1328.6,1242.02,12.3336,9.27,1232.75,132.983,NAO_DISTINGUIVEL
ascenty-vinhedo,2021,4,construida_urbana,2468.43,2621.43,1287.36,-1181.07,-11.7324,153.0,-1334.07,8.719,NAO_DISTINGUIVEL
ascenty-vinhedo,2021,5,agua,115.56,113.31,164.48,48.92,0.4856,-2.25,51.17,22.742,NAO_DISTINGUIVEL
clickip-manaus,2019,1,vegetacao_densa,1677.24,1480.14,1383.5,-293.74,-2.917,-197.1,-96.64,0.49,DISTINGUIVEL
clickip-manaus,2019,2,vegetacao_rala,1490.67,1623.51,1761.48,270.81,2.6892,132.84,137.97,1.039,NAO_DISTINGUIVEL
clickip-manaus,2019,3,solo_exposto_obras,46.17,52.92,890.35,844.18,8.383,6.75,837.43,124.064,NAO_DISTINGUIVEL
clickip-manaus,2019,4,construida_urbana,6849.63,6894.0,6017.34,-832.29,-8.265,44.37,-876.66,19.758,NAO_DISTINGUIVEL
clickip-manaus,2019,5,agua,6.39,5.31,17.43,11.04,0.1096,-1.08,12.12,11.222,NAO_DISTINGUIVEL
clickip-manaus,2020,1,vegetacao_densa,1677.24,1641.06,1384.35,-292.89,-2.9085,-36.18,-256.71,7.095,NAO_DISTINGUIVEL
clickip-manaus,2020,2,vegetacao_rala,1490.67,1014.93,1732.46,241.79,2.4011,-475.74,717.53,1.508,NAO_DISTINGUIVEL
clickip-manaus,2020,3,solo_exposto_obras,46.17,30.15,939.58,893.41,8.8719,-16.02,909.43,56.768,NAO_DISTINGUIVEL
clickip-manaus,2020,4,construida_urbana,6849.63,7375.14,6004.47,-845.16,-8.3928,525.51,-1370.67,2.608,NAO_DISTINGUIVEL
clickip-manaus,2020,5,agua,6.39,8.82,9.24,2.85,0.0283,2.43,0.42,0.173,DISTINGUIVEL
clickip-manaus,2021,1,vegetacao_densa,1677.24,1673.19,1317.51,-359.73,-3.5723,-4.05,-355.68,87.822,NAO_DISTINGUIVEL
clickip-manaus,2021,2,vegetacao_rala,1490.67,1454.4,1823.5,332.83,3.3051,-36.27,369.1,10.176,NAO_DISTINGUIVEL
clickip-manaus,2021,3,solo_exposto_obras,46.17,45.27,822.3,776.13,7.7073,-0.9,777.03,863.367,NAO_DISTINGUIVEL
clickip-manaus,2021,4,construida_urbana,6849.63,6892.83,6090.28,-759.35,-7.5406,43.2,-802.55,18.578,NAO_DISTINGUIVEL
clickip-manaus,2021,5,agua,6.39,4.41,16.51,10.12,0.1005,-1.98,12.1,6.111,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2019,1,vegetacao_densa,3278.16,3738.15,3845.93,567.77,5.6347,459.99,107.78,0.234,DISTINGUIVEL
equinix-santana-parnaiba,2019,2,vegetacao_rala,2587.05,2350.53,2082.15,-504.9,-5.0166,-236.52,-268.38,1.135,NAO_DISTINGUIVEL
