site_id,ano,sensor,resolucao_m,classe_id,classe_nome,area_m2,area_ha,pct_area_valida,pixels_validos,fator_correcao_sensor,modelo_versao,gerado_em,tipo,pareado_com,tier,precisao_coordenada,faixa_serie
angonap-fortaleza,2023,sentinel2,10,4,construida_urbana,26727400.0,2672.74,26.6208,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2023,sentinel2,10,5,agua,53982300.0,5398.23,53.767,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2024,sentinel2,10,1,vegetacao_densa,10022800.0,1002.28,9.9828,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2024,sentinel2,10,2,vegetacao_rala,5046100.0,504.61,5.026,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2024,sentinel2,10,3,solo_exposto_obras,4224700.0,422.47,4.2079,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2024,sentinel2,10,4,construida_urbana,26816300.0,2681.63,26.7094,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2024,sentinel2,10,5,agua,54290500.0,5429.05,54.074,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2025,sentinel2,10,1,vegetacao_densa,10943100.0,1094.31,10.8995,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2025,sentinel2,10,2,vegetacao_rala,4502000.0,450.2,4.484,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2025,sentinel2,10,3,solo_exposto_obras,4495300.0,449.53,4.4774,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
