site_id,pais,tipo,pareado_com,nome,operadora,lat,lon,buffer_km,ano,ano_inicio_obra,fonte_data_obra,ano_relativo_ao_inicio_obra,fase,dist_tratamento_controle_km,instrumento,resolucao_m,pixels_validos,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,municipio,uf,codigo_ibge,n_predios_no_campus,lst_media_celsius,populacao,populacao_buffer_5km,pib_mil_reais,tier,regiao,bioma,qualidade_par,l1_rf
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2020,2019,declarada_datacentermap,1,pos,24,rf_v1.0-tuned,30,111446,3441.42,4073.49,124.56,2332.08,58.59,0.343108,0.406125,0.012419,0.232507,0.005841,Jundiaí,SP,3525904,1,28.4548,423006.0,51079,51740230.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2021,2019,declarada_datacentermap,2,pos,24,rf_v1.0-tuned,30,111538,2610.54,4493.88,154.8,2730.6,48.6,0.260055,0.447668,0.015421,0.272015,0.004841,Jundiaí,SP,3525904,1,27.4275,426935.0,51079,57670893.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2022,2019,declarada_datacentermap,3,pos,24,rf_v1.0-tuned,30,111349,2931.57,4286.25,116.73,2639.43,47.43,0.292531,0.427709,0.011648,0.263379,0.004733,Jundiaí,SP,3525904,1,26.275,443221.0,51079,63835907.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-maracanau-p03,BR,controle,ascenty-maracanau,,,-3.600568,-38.840375,5,2013,2014,declarada_datacentermap,-1,pre,36,rf_v1.0-tuned,30,111556,3533.04,4239.99,964.62,969.84,332.55,0.351895,0.422308,0.096077,0.096597,0.033122,Caucaia,CE,2303709,0,32.1975,,6007,4750602.0,1.0,Nordeste,Caatinga,ruim,0.854877
ctrl-ascenty-maracanau-p03,BR,controle,ascenty-maracanau,,,-3.600568,-38.840375,5,2014,2014,declarada_datacentermap,0,durante,36,rf_v1.0-tuned,30,111555,3461.31,4311.9,946.08,1013.58,307.08,0.344754,0.429474,0.094232,0.100955,0.030586,Caucaia,CE,2303709,0,31.9927,,6007,5582491.0,1.0,Nordeste,Caatinga,ruim,0.854877
ctrl-ascenty-maracanau-p03,BR,controle,ascenty-maracanau,,,-3.600568,-38.840375,5,2015,2014,declarada_datacentermap,1,durante,36,rf_v1.0-tuned,30,111556,3145.68,4552.83,736.38,1159.02,446.13,0.313313,0.453467,0.073344,0.11544,0.044435,Caucaia,CE,2303709,0,30.7778,,6007,5743008.0,1.0,Nordeste,Caatinga,ruim,0.854877
ctrl-ascenty-maracanau-p03,BR,controle,ascenty-maracanau,,,-3.600568,-38.840375,5,2016,2014,declarada_datacentermap,2,pos,36,rf_v1.0-tuned,30,111556,2731.32,4871.7,758.07,1260.18,418.77,0.272043,0.485227,0.075505,0.125515,0.04171,Caucaia,CE,2303709,0,31.089,358164.0,6007,5443796.0,1.0,Nordeste,Caatinga,ruim,0.854877
ctrl-ascenty-maracanau-p03,BR,controle,ascenty-maracanau,,,-3.600568,-38.840375,5,2017,2014,declarada_datacentermap,3,pos,36,rf_v1.0-tuned,30,111556,2909.16,4624.38,672.57,1409.31,424.62,0.289756,0.460594,0.066989,0.140369,0.042293,Caucaia,CE,2303709,0,30.7155,362223.0,6007,5862516.0,1.0,Nordeste,Caatinga,ruim,0.854877
ascenty-maracanau,BR,tratamento,ascenty-maracanau,,,-3.830803,-38.611253,5,2013,2014,declarada_datacentermap,-1,pre,36,rf_v1.0-tuned,30,111769,1766.61,2708.46,119.52,5271.39,193.23,0.175621,0.269252,0.011882,0.524036,0.019209,Maracanaú,CE,2307650,0,33.9145,,461235,6291122.0,1.0,Nordeste,Caatinga,ruim,0.854877
ascenty-maracanau,BR,tratamento,ascenty-maracanau,,,-3.830803,-38.611253,5,2014,2014,declarada_datacentermap,0,durante,36,rf_v1.0-tuned,30,111580,1801.08,2562.48,95.58,5399.01,184.05,0.179351,0.255171,0.009518,0.537632,0.018328,Maracanaú,CE,2307650,0,33.6985,,461235,7029386.0,1.0,Nordeste,Caatinga,ruim,0.854877
ascenty-maracanau,BR,tratamento,ascenty-maracanau,,,-3.830803,-38.611253,5,2015,2014,declarada_datacentermap,1,durante,36,rf_v1.0-tuned,30,111627,1422.09,2721.51,110.61,5562.72,229.5,0.141552,0.270893,0.01101,0.553701,0.022844,Maracanaú,CE,2307650,0,32.8113,,461235,7896114.0,1.0,Nordeste,Caatinga,ruim,0.854877
ascenty-maracanau,BR,tratamento,ascenty-maracanau,,,-3.830803,-38.611253,5,2016,2014,declarada_datacentermap,2,pos,36,rf_v1.0-tuned,30,111889,992.07,2895.66,92.97,5853.15,236.16,0.098517,0.287553,0.009232,0.581246,0.023452,Maracanaú,CE,2307650,0,33.8657,223188.0,461235,8100726.0,1.0,Nordeste,Caatinga,ruim,0.854877
ascenty-maracanau,BR,tratamento,ascenty-maracanau,,,-3.830803,-38.611253,5,2017,2014,declarada_datacentermap,3,pos,36,rf_v1.0-tuned,30,111887,1278.0,2609.73,115.83,5835.87,230.4,0.126914,0.259163,0.011503,0.57954,0.02288,Maracanaú,CE,2307650,0,32.4851,224804.0,461235,8540212.0,1.0,Nordeste,Caatinga,ruim,0.854877
ctrl-ascenty-osasco-p01,BR,controle,ascenty-osasco,,,-23.529577,-46.928574,5,2017,2020,declarada_datacentermap,-3,pre,16,rf_v1.0-tuned,30,110913,2136.15,2695.32,73.08,5030.46,47.16,0.213997,0.270013,0.007321,0.503945,0.004724,Itapevi,SP,3522505,2,27.546,229502.0,417826,11253728.0,1.0,Sudeste,Mata Atlântica,ruim,0.265934
