site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,codigo_ibge,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,l1_rf,qualidade_par,dist_tratamento_controle_km,municipio_compartilhado_com_par,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,regiao,bioma,tier,mw_construido_total,whitespace_construido_sqm_total,tier_projetado_max,n_predios_datacentermap
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2018,2019,2019,-1,pre,0.088258,bom,24,False,landsat,30,112224,rf_v1.0-tuned,3092.67,4314.15,52.29,2628.09,12.96,0.3062,0.427137,0.005177,0.260203,0.001283,26.1075,26.4614,3.3035,44,83735.0,estimativa_intercensitaria,12560.0,14241.0,1238.0,2102640.0,,,,,,,
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2019,2019,2019,0,durante,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,3679.92,3942.72,41.85,2418.57,17.19,0.364339,0.390359,0.004143,0.239456,0.001702,26.7993,26.8255,4.1224,46,84650.0,estimativa_intercensitaria,11696.0,13652.0,1367.0,2145809.0,,,,,,,
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2020,2019,2019,1,pos,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,3646.17,3931.29,41.04,2463.93,17.82,0.360998,0.389227,0.004063,0.243947,0.001764,26.815,27.1534,3.6511,46,85541.0,estimativa_intercensitaria,11728.0,13575.0,1413.0,2219744.0,,,,,,,
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2021,2019,2019,2,pos,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,2443.05,4528.8,42.75,3072.06,13.59,0.24188,0.448385,0.004233,0.304157,0.001346,26.4329,27.7132,4.1235,46,86407.0,estimativa_intercensitaria,12064.0,13816.0,1497.0,2530950.0,,,,,,,
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2022,2019,2019,3,pos,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,3267.99,4071.6,25.65,2720.07,14.94,0.323555,0.403119,0.00254,0.269307,0.001479,25.1671,25.7276,3.5152,44,77632.0,censo,12809.0,15788.0,2446.0,2976085.0,,,,,,,
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2016,2019,2019,-3,pre,0.088258,bom,24,False,landsat,30,110631,rf_v1.0-tuned,3081.15,4074.84,224.64,2518.11,58.05,0.309452,0.409252,0.022561,0.252904,0.00583,27.3208,28.5839,3.8675,44,405740.0,estimativa_intercensitaria,165524.0,188904.0,17099.0,40317016.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2017,2019,2019,-2,pre,0.088258,bom,24,False,landsat,30,111431,rf_v1.0-tuned,3013.11,4092.93,219.15,2649.69,53.91,0.300446,0.408118,0.021852,0.264208,0.005376,27.4339,28.39,3.8846,43,409497.0,estimativa_intercensitaria,161787.0,186225.0,17707.0,41084447.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2018,2019,2019,-1,pre,0.088258,bom,24,False,landsat,30,111204,rf_v1.0-tuned,2754.27,4534.65,195.03,2472.84,51.57,0.275197,0.453086,0.019487,0.247077,0.005153,27.1242,27.0817,3.202,44,414810.0,estimativa_intercensitaria,164279.0,188446.0,17788.0,43630306.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2019,2019,2019,0,durante,0.088258,bom,24,False,landsat,30,111455,rf_v1.0-tuned,3480.3,4031.01,145.35,2320.65,53.64,0.346956,0.401857,0.01449,0.231349,0.005347,27.411,26.7587,4.1169,45,418962.0,estimativa_intercensitaria,167534.0,194183.0,20143.0,46959283.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2020,2019,2019,1,pos,0.088258,bom,24,False,landsat,30,111446,rf_v1.0-tuned,3441.42,4073.49,124.56,2332.08,58.59,0.343108,0.406125,0.012419,0.232507,0.005841,28.4548,28.5597,3.7995,46,423006.0,estimativa_intercensitaria,162810.0,191073.0,20889.0,51740230.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
ascenty-jundiai,tratamento,ascenty-jundiai,dc_1e8c6816f0,1,Jundiaí,SP,3525904,-23.191744,-46.974604,5,2021,2019,2019,2,pos,0.088258,bom,24,False,landsat,30,111538,rf_v1.0-tuned,2610.54,4493.88,154.8,2730.6,48.6,0.260055,0.447668,0.015421,0.272015,0.004841,27.4275,28.7828,3.8532,46,426935.0,estimativa_intercensitaria,177226.0,206743.0,21969.0,57670893.0,Sudeste,Mata Atlântica,2.0,13.0,8993.0,3.0,1.0
