slug,nome,regiao,operadora_link,operadora_nome,cidade,endereco,latitude,longitude,listingtype,capacitytype,url
equinix-rj3,Equinix RJ3,rio-de-janeiro,equinix,Equinix,São João de Meriti,"Rua Maria Soares Sendas, 6-B/2",-22.7963142,-43.3485363,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/
equinix-sp1,Equinix SP1,sao-paulo,equinix,Equinix,São Paulo,"Rua Doutor Miguel Couto, 58, Centro",-23.54601881056474,-46.63581758737564,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/
equinix-sp2,Equinix SP2,sao-paulo,equinix,Equinix,Barueri,"Alameda Araguaia, 3641 Tamboré",-23.50295173401723,-46.8272066116333,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/
equinix-sp3,Equinix SP3,sao-paulo,equinix,Equinix,Santana do Parnaíba,"Av. Marcos Penteado de Ulhôa Rodrigues, 249",-23.46633659842699,-46.86304092407227,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/
equinix-sp4,Equinix SP4,sao-paulo,equinix,Equinix,Barueri,"Av. Ceci, 1900 - Res. Tambore, Tamboré",-23.49343730305815,-46.80943965911865,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/
equinix-sp5x,Equinix SP5x,sao-paulo,equinix,Equinix,Santana de Parnaíba,"Av. Marcos Penteado de Ulhôa Rodrigues, 888",-23.46393786425595,-46.8626817427955,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/
equinix-sp6,Equinix SP6,sao-paulo,equinix,Equinix,Santana de Parnaíba,"Av. Marcos Penteado de Ulhoa Rodrigues, 1413",-23.4617951,-46.8571846,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/
equinix-sp7,Equinix SP7,sao-paulo,equinix,Equinix,Santana de Parnaíba,"Av. Marcos Penteado de Ulhoa Rodrigues, 1413",-23.46273037128772,-46.85742464143956,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp7/
everest-digital-data-center,Everest Digital Data Center,goiania,everest-digital,Everest Digital,Goiânia,"Av. Fued José Sebba, 700 - Térreo 2 - Jardim Goiás",-16.68937263321776,-49.24135147797131,Facility,Colocation,https://www.datacentermap.com/brazil/goiania/everest-digital-data-center/
evo-cta-01,EVO-CTA-01,curitiba,grupo-evo,Grupo EVO,Curitiba,105 R. Álvaro Maravalhas,-25.4702121,-49.3513786,Facility,Colocation,https://www.datacentermap.com/brazil/curitiba/evo-cta-01/
ferenz-networks,FERENZ NETWORKS SERVIÇOS DE INTERNET LTDA,xaxim,ferenz-networks,Ferenz Networks,Xaxim,"Rua Governador Irineu Bornhausen, 473, Bairro Germânico",-26.968319,-52.5254562,Facility,Colocation,https://www.datacentermap.com/brazil/xaxim/ferenz-networks/
gblx-rio,Cirion RIO1,rio-de-janeiro,cirion,Cirion,Rio de Janeiro,"Av. Pedro II, 329",-22.9049983,-43.2179064,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/gblx-rio/
