aoi_id;candidato_id;similar_rank;municipio_similar;ponto_latitude;ponto_longitude;l1;qualidade;posicao;escolhido
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim2_p3;2;Salto (SP);-23.226872;-47.235286;0.699665;ruim;3;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim2_p5;2;Salto (SP);-23.226872;-47.338514;0.710409;ruim;4;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim2_p2;2;Salto (SP);-23.172103;-47.235307;0.71085;ruim;5;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p6;1;Pouso Alegre (MG);-22.201319;-45.987561;0.719824;ruim;6;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p5;1;Pouso Alegre (MG);-22.256087;-45.987581;0.765227;ruim;7;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p3;1;Pouso Alegre (MG);-22.256087;-45.885083;0.770733;ruim;8;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim2_p6;2;Salto (SP);-23.172103;-47.338493;0.785253;ruim;9;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p2;1;Pouso Alegre (MG);-22.201319;-45.885103;0.822163;ruim;10;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p4;1;Pouso Alegre (MG);-22.28348;-45.936332;0.864752;ruim;11;False
equinix-santana-de-parnaiba;equinix-santana-de-parnaiba_sim1_p1;1;Pouso Alegre (MG);-22.173942;-45.936332;0.935857;ruim;12;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p3;1;Porto Alegre (RS);-30.041726;-51.209386;0.57159;ruim;1;True
hosting-now-curitiba;hosting-now-curitiba_sim2_p2;2;Joinville (SC);-26.292669;-48.825634;0.65329;ruim;2;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p2;1;Porto Alegre (RS);-30.021131;-51.20939;0.658461;ruim;3;False
hosting-now-curitiba;hosting-now-curitiba_sim2_p1;2;Joinville (SC);-26.282374;-48.845527;0.685137;ruim;4;False
hosting-now-curitiba;hosting-now-curitiba_sim2_p3;2;Joinville (SC);-26.313264;-48.82563;0.686206;ruim;5;False
hosting-now-curitiba;hosting-now-curitiba_sim2_p6;2;Joinville (SC);-26.292669;-48.86542;0.810471;ruim;6;False
hosting-now-curitiba;hosting-now-curitiba_sim2_p4;2;Joinville (SC);-26.323562;-48.845527;0.814377;ruim;7;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p4;1;Porto Alegre (RS);-30.052024;-51.229989;0.842947;ruim;8;False
hosting-now-curitiba;hosting-now-curitiba_sim2_p5;2;Joinville (SC);-26.313264;-48.865424;0.861367;ruim;9;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p1;1;Porto Alegre (RS);-30.010836;-51.229989;0.984775;ruim;10;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p5;1;Porto Alegre (RS);-30.041726;-51.250592;1.146125;ruim;11;False
hosting-now-curitiba;hosting-now-curitiba_sim1_p6;1;Porto Alegre (RS);-30.021131;-51.250588;1.233654;ruim;12;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p4;2;Araguaína (TO);-7.214082;-48.208705;0.450861;ruim;1;True
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p5;2;Araguaína (TO);-7.202705;-48.228566;0.454324;ruim;2;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p3;2;Araguaína (TO);-7.202705;-48.188844;0.455235;ruim;3;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p6;2;Araguaína (TO);-7.179952;-48.228565;0.466901;ruim;4;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p2;2;Araguaína (TO);-7.179952;-48.188845;0.467972;ruim;5;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p5;1;Rio Branco (AC);-9.985486;-67.830147;0.469512;ruim;6;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim2_p1;2;Araguaína (TO);-7.168576;-48.208705;0.478561;ruim;7;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p6;1;Rio Branco (AC);-9.962733;-67.830145;0.480696;ruim;8;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p4;1;Rio Branco (AC);-9.996863;-67.810139;0.541164;ruim;9;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p1;1;Rio Branco (AC);-9.951357;-67.810139;0.547146;ruim;10;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p3;1;Rio Branco (AC);-9.985486;-67.790131;0.588378;ruim;11;False
idx-data-centers-&-it-services-palmas;idx-data-centers-&-it-services-palmas_sim1_p2;1;Rio Branco (AC);-9.962733;-67.790133;0.624812;ruim;12;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p4;2;Vitória de Santo Antão (PE);-8.165498;-35.291195;0.637964;ruim;1;True
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p4;1;Simões Filho (BA);-12.831608;-38.40374;0.654133;ruim;2;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p5;1;Simões Filho (BA);-12.807638;-38.446311;0.743496;ruim;3;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p5;2;Vitória de Santo Antão (PE);-8.141529;-35.33313;0.750139;ruim;4;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p3;1;Simões Filho (BA);-12.807638;-38.361169;0.808701;ruim;5;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p2;1;Simões Filho (BA);-12.759704;-38.361177;0.862685;ruim;6;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p3;2;Vitória de Santo Antão (PE);-8.141529;-35.24926;0.863297;ruim;7;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p6;2;Vitória de Santo Antão (PE);-8.093595;-35.333125;0.92795;ruim;8;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p2;2;Vitória de Santo Antão (PE);-8.093595;-35.249265;0.949139;ruim;9;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p6;1;Simões Filho (BA);-12.759704;-38.446303;0.958614;ruim;10;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim2_p1;2;Vitória de Santo Antão (PE);-8.06963;-35.291195;0.977266;ruim;11;False
ipxon-networks-maracanau;ipxon-networks-maracanau_sim1_p1;1;Simões Filho (BA);-12.73574;-38.40374;1.028571;ruim;12;False
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p3;1;Jundiaí (SP);-23.205868;-46.844885;0.420842;ruim;1;True
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p4;1;Jundiaí (SP);-23.226693;-46.884119;0.527369;ruim;2;False
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p6;1;Jundiaí (SP);-23.16423;-46.923341;0.550778;ruim;3;False
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p5;1;Jundiaí (SP);-23.205868;-46.923353;0.57767;ruim;4;False
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p2;1;Jundiaí (SP);-23.16423;-46.844897;0.613338;ruim;5;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p6;2;Santos (SP);-23.93864;-46.373016;0.620492;ruim;6;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p3;2;Santos (SP);-23.980278;-46.294095;0.62139;ruim;7;False
ipxon-networks-osasco;ipxon-networks-osasco_sim1_p1;1;Jundiaí (SP);-23.143415;-46.884119;0.651179;ruim;8;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p2;2;Santos (SP);-23.93864;-46.294108;0.705739;ruim;9;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p1;2;Santos (SP);-23.917825;-46.333562;0.777478;ruim;10;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p5;2;Santos (SP);-23.980278;-46.373029;0.898466;ruim;11;False
ipxon-networks-osasco;ipxon-networks-osasco_sim2_p4;2;Santos (SP);-24.001103;-46.333562;1.295663;ruim;12;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p3;1;Carapicuíba (SP);-23.532344;-46.814357;0.11222;aceitavel;1;True
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p2;1;Carapicuíba (SP);-23.509951;-46.81436;0.320852;ruim;2;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p4;1;Carapicuíba (SP);-23.543542;-46.835509;0.357723;ruim;3;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p5;1;Carapicuíba (SP);-23.532344;-46.856661;0.39892;ruim;4;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p6;1;Carapicuíba (SP);-23.509951;-46.856658;0.428196;ruim;5;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim1_p1;1;Carapicuíba (SP);-23.498756;-46.835509;0.571718;ruim;6;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p2;2;São Vicente (SP);-23.950488;-46.370675;0.939537;ruim;7;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p3;2;São Vicente (SP);-23.972881;-46.370671;0.977949;ruim;8;False
