destino;site_id;ano;sensor;prop_vegetacao_densa;prop_vegetacao_rala;prop_solo_exposto_obras;prop_construida_urbana;prop_agua;pct_pixels_validos
candidato;ascenty-data-centers-hortolandia_sim1_p6;2016;landsat;0.217717;0.564771;0.011378;0.182242;0.023892;99.9902
candidato;ascenty-data-centers-hortolandia_sim1_p6;2017;landsat;0.109429;0.658298;0.007043;0.20151;0.02372;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p1;2015;landsat;0.067736;0.503932;0.016704;0.353606;0.058021;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p1;2016;landsat;0.062687;0.488006;0.010573;0.361677;0.077058;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p1;2017;landsat;0.054741;0.484815;0.021208;0.372687;0.066548;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p2;2015;landsat;0.063589;0.645625;0.007561;0.280347;0.002878;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p2;2016;landsat;0.050398;0.649012;0.006283;0.29058;0.003727;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p2;2017;landsat;0.034891;0.651336;0.007695;0.302681;0.003396;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p3;2015;landsat;0.208227;0.639661;0.002895;0.147469;0.001748;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p3;2016;landsat;0.188237;0.656827;0.003379;0.148141;0.003415;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p3;2017;landsat;0.140817;0.690577;0.004921;0.161444;0.002241;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p4;2015;landsat;0.206114;0.596278;0.004172;0.191318;0.002118;99.9032
candidato;ascenty-data-centers-hortolandia_sim2_p4;2016;landsat;0.190194;0.602626;0.004765;0.199248;0.003168;99.8951
candidato;ascenty-data-centers-hortolandia_sim2_p4;2017;landsat;0.150941;0.625252;0.009395;0.211982;0.002429;99.9919
candidato;ascenty-data-centers-hortolandia_sim2_p5;2015;landsat;0.078984;0.510538;0.01069;0.38559;0.014197;99.9035
candidato;ascenty-data-centers-hortolandia_sim2_p5;2016;landsat;0.080055;0.484392;0.009788;0.409777;0.015988;99.8954
candidato;ascenty-data-centers-hortolandia_sim2_p5;2017;landsat;0.06548;0.505662;0.010922;0.401453;0.016482;99.992
candidato;ascenty-data-centers-hortolandia_sim2_p6;2015;landsat;0.051059;0.510215;0.006926;0.357807;0.073992;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p6;2016;landsat;0.051309;0.496836;0.006971;0.367826;0.077058;100.0
candidato;ascenty-data-centers-hortolandia_sim2_p6;2017;landsat;0.046555;0.484646;0.008776;0.381223;0.078801;100.0
candidato;ascenty-data-centers-jundiai_sim1_p1;2016;landsat;0.266909;0.655761;0.009819;0.063136;0.004375;99.784
candidato;ascenty-data-centers-jundiai_sim1_p1;2017;landsat;0.211799;0.707523;0.008588;0.068075;0.004016;99.9982
candidato;ascenty-data-centers-jundiai_sim1_p1;2018;landsat;0.249672;0.678126;0.007373;0.061129;0.0037;99.8189
candidato;ascenty-data-centers-jundiai_sim1_p2;2016;landsat;0.442949;0.424569;0.012436;0.115133;0.004913;99.9785
candidato;ascenty-data-centers-jundiai_sim1_p2;2017;landsat;0.404129;0.452015;0.011268;0.128052;0.004536;100.0
candidato;ascenty-data-centers-jundiai_sim1_p2;2018;landsat;0.434295;0.438881;0.009781;0.112816;0.004227;99.8942
candidato;ascenty-data-centers-jundiai_sim1_p3;2016;landsat;0.74552;0.230653;0.00016;0.010898;0.012769;100.0
candidato;ascenty-data-centers-jundiai_sim1_p3;2017;landsat;0.711749;0.262945;0.000187;0.01358;0.011539;100.0
candidato;ascenty-data-centers-jundiai_sim1_p3;2018;landsat;0.730898;0.247342;0.000178;0.011682;0.0099;100.0
candidato;ascenty-data-centers-jundiai_sim1_p4;2016;landsat;0.591762;0.331639;0.012774;0.049357;0.014468;99.9991
candidato;ascenty-data-centers-jundiai_sim1_p4;2017;landsat;0.557314;0.363504;0.011152;0.055507;0.012523;99.9973
candidato;ascenty-data-centers-jundiai_sim1_p4;2018;landsat;0.587999;0.342833;0.008821;0.049851;0.010497;99.9973
candidato;ascenty-data-centers-jundiai_sim1_p5;2016;landsat;0.668839;0.312578;0.000305;0.010049;0.008229;100.0
candidato;ascenty-data-centers-jundiai_sim1_p5;2017;landsat;0.607408;0.368613;0.000376;0.016073;0.00753;100.0
candidato;ascenty-data-centers-jundiai_sim1_p5;2018;landsat;0.650203;0.32944;0.000385;0.013016;0.006956;100.0
candidato;ascenty-data-centers-jundiai_sim1_p6;2016;landsat;0.407922;0.544611;0.001043;0.032756;0.013669;100.0
candidato;ascenty-data-centers-jundiai_sim1_p6;2017;landsat;0.334236;0.613724;0.00065;0.038566;0.012823;99.9982
candidato;ascenty-data-centers-jundiai_sim1_p6;2018;landsat;0.376137;0.580699;0.000686;0.03092;0.011557;100.0
candidato;ascenty-data-centers-jundiai_sim2_p1;2016;landsat;0.003954;0.030905;0.002448;0.954042;0.008652;99.9821
candidato;ascenty-data-centers-jundiai_sim2_p1;2017;landsat;0.004509;0.031652;0.002107;0.95725;0.004482;100.0
candidato;ascenty-data-centers-jundiai_sim2_p1;2018;landsat;0.005845;0.038217;0.002358;0.948784;0.004796;99.9919
candidato;ascenty-data-centers-jundiai_sim2_p2;2016;landsat;0.095717;0.093309;0.002506;0.806572;0.001895;99.7867
candidato;ascenty-data-centers-jundiai_sim2_p2;2017;landsat;0.089407;0.099404;0.003051;0.80742;0.000718;99.8906
candidato;ascenty-data-centers-jundiai_sim2_p2;2018;landsat;0.087169;0.105251;0.004179;0.802619;0.000782;99.7409
candidato;ascenty-data-centers-jundiai_sim2_p3;2016;landsat;0.092282;0.126377;0.004987;0.772522;0.003832;99.8213
candidato;ascenty-data-centers-jundiai_sim2_p3;2017;landsat;0.094575;0.128925;0.003933;0.769564;0.003003;99.9902
candidato;ascenty-data-centers-jundiai_sim2_p3;2018;landsat;0.087641;0.141961;0.004157;0.763419;0.002822;99.7542
candidato;ascenty-data-centers-jundiai_sim2_p4;2016;landsat;0.09244;0.072533;0.00529;0.826983;0.002753;99.6702
candidato;ascenty-data-centers-jundiai_sim2_p4;2017;landsat;0.096064;0.074497;0.003164;0.825105;0.001171;99.9946
candidato;ascenty-data-centers-jundiai_sim2_p4;2018;landsat;0.096409;0.077834;0.003139;0.821354;0.001265;99.6461
candidato;ascenty-data-centers-jundiai_sim2_p5;2016;landsat;0.045615;0.046457;0.002896;0.885004;0.020028;99.9883
candidato;ascenty-data-centers-jundiai_sim2_p5;2017;landsat;0.0451;0.047664;0.002304;0.885865;0.019067;99.9964
candidato;ascenty-data-centers-jundiai_sim2_p5;2018;landsat;0.04674;0.056047;0.002914;0.875121;0.019178;99.9785
candidato;ascenty-data-centers-jundiai_sim2_p6;2016;landsat;0.007747;0.03008;0.003591;0.940756;0.017827;99.8628
candidato;ascenty-data-centers-jundiai_sim2_p6;2017;landsat;0.007611;0.033007;0.002725;0.951216;0.005441;99.9973
candidato;ascenty-data-centers-jundiai_sim2_p6;2018;landsat;0.009015;0.039973;0.003672;0.939996;0.007345;99.8377
candidato;ascenty-data-centers-osasco_sim1_p1;2017;landsat;0.185577;0.468446;0.004406;0.323356;0.018214;99.9991
candidato;ascenty-data-centers-osasco_sim1_p1;2018;landsat;0.226824;0.455994;0.003966;0.295568;0.017647;99.8213
candidato;ascenty-data-centers-osasco_sim1_p1;2019;landsat;0.250344;0.43423;0.003074;0.292913;0.019439;100.0
candidato;ascenty-data-centers-osasco_sim1_p2;2017;landsat;0.180293;0.4566;0.007284;0.347198;0.008625;100.0
candidato;ascenty-data-centers-osasco_sim1_p2;2018;landsat;0.222133;0.443881;0.00673;0.319418;0.007838;99.9982
candidato;ascenty-data-centers-osasco_sim1_p2;2019;landsat;0.242204;0.426226;0.004987;0.316591;0.009992;99.9991
candidato;ascenty-data-centers-osasco_sim1_p3;2017;landsat;0.160977;0.34735;0.010273;0.47871;0.002689;100.0
candidato;ascenty-data-centers-osasco_sim1_p3;2018;landsat;0.194946;0.345839;0.00909;0.447525;0.0026;99.9937
candidato;ascenty-data-centers-osasco_sim1_p3;2019;landsat;0.210721;0.334759;0.007413;0.444355;0.002752;99.9991
candidato;ascenty-data-centers-osasco_sim1_p4;2017;landsat;0.306768;0.308505;0.008706;0.373981;0.002041;100.0
candidato;ascenty-data-centers-osasco_sim1_p4;2018;landsat;0.337637;0.300746;0.006781;0.352831;0.002005;99.9964
candidato;ascenty-data-centers-osasco_sim1_p4;2019;landsat;0.345603;0.292308;0.006897;0.353204;0.001987;99.9991
candidato;ascenty-data-centers-osasco_sim1_p5;2017;landsat;0.367711;0.273257;0.008367;0.34776;0.002905;99.9991
candidato;ascenty-data-centers-osasco_sim1_p5;2018;landsat;0.390488;0.271344;0.006267;0.328992;0.00291;99.8209
candidato;ascenty-data-centers-osasco_sim1_p5;2019;landsat;0.401272;0.257095;0.007173;0.331483;0.002976;99.9982
candidato;ascenty-data-centers-osasco_sim1_p6;2017;landsat;0.116983;0.410129;0.011085;0.442757;0.019047;99.899
candidato;ascenty-data-centers-osasco_sim1_p6;2018;landsat;0.146797;0.416718;0.00876;0.409064;0.018661;99.4754
candidato;ascenty-data-centers-osasco_sim1_p6;2019;landsat;0.169337;0.391558;0.008731;0.410049;0.020326;99.8096
candidato;ascenty-data-centers-osasco_sim2_p1;2017;landsat;0.431917;0.064304;0.000699;0.308097;0.194983;99.9794
candidato;ascenty-data-centers-osasco_sim2_p1;2018;landsat;0.441886;0.058792;0.000493;0.310001;0.188828;99.9148
candidato;ascenty-data-centers-osasco_sim2_p1;2019;landsat;0.442164;0.063251;0.000502;0.302799;0.191285;100.0
candidato;ascenty-data-centers-osasco_sim2_p2;2017;landsat;0.418323;0.071934;0.001336;0.347995;0.160412;99.9668
candidato;ascenty-data-centers-osasco_sim2_p2;2018;landsat;0.428712;0.064853;0.000673;0.347608;0.158154;99.8924
candidato;ascenty-data-centers-osasco_sim2_p2;2019;landsat;0.426768;0.073554;0.000287;0.341067;0.158324;99.9946
candidato;ascenty-data-centers-osasco_sim2_p3;2017;landsat;0.221109;0.070163;0.002597;0.401858;0.304273;99.0794
candidato;ascenty-data-centers-osasco_sim2_p3;2018;landsat;0.221459;0.07314;0.00185;0.400245;0.303306;98.8338
candidato;ascenty-data-centers-osasco_sim2_p3;2019;landsat;0.227265;0.074157;0.001761;0.391018;0.3058;99.2793
candidato;ascenty-data-centers-osasco_sim2_p4;2017;landsat;0.095974;0.032619;0.001478;0.200881;0.669048;97.6415
candidato;ascenty-data-centers-osasco_sim2_p4;2018;landsat;0.095209;0.035884;0.001278;0.202722;0.664907;96.1006
candidato;ascenty-data-centers-osasco_sim2_p4;2019;landsat;0.100438;0.032983;0.000656;0.198437;0.667486;97.0239
candidato;ascenty-data-centers-osasco_sim2_p5;2017;landsat;0.131918;0.043234;0.000977;0.366128;0.457744;98.772
candidato;ascenty-data-centers-osasco_sim2_p5;2018;landsat;0.135125;0.04075;0.000914;0.370704;0.452507;97.7505
candidato;ascenty-data-centers-osasco_sim2_p5;2019;landsat;0.136444;0.045726;0.000942;0.359946;0.456942;98.6657
candidato;ascenty-data-centers-osasco_sim2_p6;2017;landsat;0.249809;0.056759;0.000753;0.40378;0.288898;99.9399
candidato;ascenty-data-centers-osasco_sim2_p6;2018;landsat;0.257191;0.053323;0.000808;0.406757;0.281921;99.7902
candidato;ascenty-data-centers-osasco_sim2_p6;2019;landsat;0.25937;0.057725;0.000816;0.397922;0.284167;99.9919
candidato;ascenty-data-centers-paulinia_sim1_p1;2016;landsat;0.292924;0.469119;0.00416;0.224061;0.009736;99.9866
