id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
3515350,Euclides da Cunha Paulista,SP,Sudeste,9425.666666666666,13859.961666666668,0.31255,0.055466666666666664,0.28675,0.031766666666666665,3508900,Caiabu (SP),91.0,3523701,Itirapuã (SP),88.81,3501509,Alvinlândia (SP),87.34
3515400,Fartura,SP,Sudeste,16038.5,24689.551666666666,0.48828333333333335,0.11091666666666666,0.17726666666666668,0.05513333333333333,3542909,Ribeirão Bonito (SP),86.84,3510203,Capão Bonito (SP),84.81,3529203,Martinópolis (SP),84.3
3515509,Fernandópolis,SP,Sudeste,69015.0,30651.23166666667,0.609,0.13898333333333332,0.038733333333333335,0.08156666666666666,3524808,Jales (SP),94.23,3500105,Adamantina (SP),89.18,3514403,Dracena (SP),86.15
3515608,Fernando Prestes,SP,Sudeste,5784.333333333333,34271.6,0.34041666666666665,0.09515,0.3696333333333333,0.05456666666666667,3519204,Iacri (SP),84.79,3119302,Coromandel (MG),82.24,3510104,Cândido Rodrigues (SP),82.04
3515657,Fernão,SP,Sudeste,1709.5,36284.14333333333,0.26226666666666665,0.04978333333333334,0.44716666666666666,0.03565,3525409,Jeriquara (SP),83.56,3120706,Cruzeiro da Fortaleza (MG),81.92,3131406,Ipiaçu (MG),81.33
3515707,Ferraz de Vasconcelos,SP,Sudeste,192851.0,17986.02666666667,0.43533333333333335,0.2743,0.0006666666666666666,0.1018,3516408,Franco da Rocha (SP),86.07,3169901,Ubá (MG),79.54,3501707,Américo Brasiliense (SP),75.82
3515806,Flora Rica,SP,Sudeste,1493.8333333333333,25832.72333333333,0.25908333333333333,0.0446,0.35969999999999996,0.021416666666666667,3546256,Santa Cruz da Esperança (SP),91.56,3555703,União Paulista (SP),87.64,3532843,Nova Canaã Paulista (SP),87.57
3515905,Floreal,SP,Sudeste,2935.5,22443.005,0.3155,0.07211666666666668,0.29888333333333333,0.03473333333333333,3523701,Itirapuã (SP),90.41,3515129,Emilianópolis (SP),86.46,3514205,Dolcinópolis (SP),85.29
3516002,Flórida Paulista,SP,Sudeste,14546.166666666666,14905.185,0.3899166666666667,0.09963333333333334,0.20704999999999998,0.03988333333333333,3554904,Três Fronteiras (SP),90.86,3509452,Campina do Monte Alegre (SP),86.08,3543709,Rincão (SP),85.6
3516101,Florínia,SP,Sudeste,2699.1666666666665,58184.26666666666,0.5109666666666667,0.03316666666666667,0.23253333333333334,0.10005000000000001,3513306,Cruzália (SP),72.03,3119807,Córrego Danta (MG),71.08,3532157,Nantes (SP),68.56
3516200,Franca,SP,Sudeste,351661.3333333333,28197.914999999997,0.6029,0.16378333333333334,0.009933333333333334,0.09673333333333334,3506003,Bauru (SP),78.9,3529005,Marília (SP),78.11,3127701,Governador Valadares (MG),75.01
3516309,Francisco Morato,SP,Sudeste,174733.5,9078.531666666668,0.5122333333333334,0.07486666666666666,0.00036666666666666667,0.049783333333333325,3303203,Nilópolis (RJ),80.98,3103405,Araçuaí (MG),72.68,3159001,Santana do Riacho (MG),71.42
3516408,Franco da Rocha,SP,Sudeste,153167.33333333334,21732.795000000002,0.4500166666666667,0.2955666666666667,0.0011166666666666666,0.09616666666666666,3515707,Ferraz de Vasconcelos (SP),86.07,3169901,Ubá (MG),80.75,3501707,Américo Brasiliense (SP),79.84
3516507,Gabriel Monteiro,SP,Sudeste,2781.0,28146.27,0.31633333333333336,0.1997,0.23728333333333332,0.04181666666666667,3530904,Mombuca (SP),86.38,3517109,Glicério (SP),80.3,3508306,Cabrália Paulista (SP),78.29
3516606,Gália,SP,Sudeste,6612.333333333333,23194.565,0.43793333333333334,0.08098333333333334,0.23729999999999998,0.05048333333333333,3552601,Tabapuã (SP),89.12,3523800,Itobi (SP),85.87,3521309,Ipuã (SP),85.24
3516705,Garça,SP,Sudeste,44456.166666666664,28551.98166666667,0.5483833333333333,0.14888333333333334,0.0804,0.08596666666666668,3553708,Taquaritinga (SP),87.53,3550100,São Manuel (SP),85.12,3552106,Socorro (SP),85.06
3516804,Gastão Vidigal,SP,Sudeste,4775.0,15767.68,0.36201666666666665,0.05558333333333334,0.25811666666666666,0.042699999999999995,3134806,Jacuí (MG),90.88,3505005,Barão de Antonina (SP),90.66,3507704,Braúna (SP),89.5
3516853,Gavião Peixoto,SP,Sudeste,4776.666666666667,229237.27833333332,0.16803333333333334,0.6446999999999999,0.04015,0.1178,3135407,Jeceaba (MG),58.77,3133709,Itatiaiuçu (MG),36.61,3103751,Araporã (MG),33.75
3516903,General Salgado,SP,Sudeste,10894.833333333334,22906.051666666666,0.5110333333333333,0.06075,0.16631666666666667,0.05906666666666666,3538907,Pirajuí (SP),88.87,3529906,Miracatu (SP),84.62,3541208,Presidente Bernardes (SP),80.8
