nome_datacenter;latitude_datacenter;longitude_datacenter;latitude_municipio;longitude_municipio;latitude_similar;longitude_similar;distancia_km;inclinacao_graus;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;1;0.0;-23.302335;-46.88292
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;2;60.0;-23.331643;-46.827618
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;3;120.0;-23.390279;-46.827593
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;4;180.0;-23.419607;-46.88292
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;5;240.0;-23.390279;-46.938247
Scala Data Centers SGRUTB08;-23.495578;-46.8138807;-23.509205;-46.876065;-23.360971;-46.88292;6.52;76.57;6;300.0;-23.331643;-46.938222
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;1;0.0;-23.301616;-46.88292
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;2;60.0;-23.331283;-46.826939
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;3;120.0;-23.390639;-46.826914
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;4;180.0;-23.420326;-46.88292
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;5;240.0;-23.390639;-46.938926
Scala Data Centers SGRUTB12;-23.4950428;-46.8132396;-23.509205;-46.876065;-23.360971;-46.88292;6.6;76.2;6;300.0;-23.331283;-46.938901
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;1;0.0;-23.505321;-46.835509
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;2;60.0;-23.513234;-46.82056
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;3;120.0;-23.529062;-46.820558
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;4;180.0;-23.536977;-46.835509
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;5;240.0;-23.529062;-46.85046
Scala Data Centers SGIGSM01;-22.796438;-43.356317;-22.802581;-43.37215;-23.521149;-46.835509;1.76;67.18;6;300.0;-23.513234;-46.850458
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;1;0.0;-25.386497;-49.273028
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;2;60.0;-25.406412;-49.234832
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;3;120.0;-25.446252;-49.234819
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;4;180.0;-25.466177;-49.273028
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;5;240.0;-25.446252;-49.311237
Scala Data Centers SPOAPA01;-30.0028052;-51.1979623;-30.03143;-51.229989;-25.426337;-49.273028;4.43;44.1;6;300.0;-25.406412;-49.311224
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;1;0.0;-9.930673;-67.810139
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;2;60.0;-9.952389;-67.771947
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;3;120.0;-9.995826;-67.771941
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;4;180.0;-10.017547;-67.810139
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;5;240.0;-9.995826;-67.848337
TO HOST Data Centers;-10.2048941;-48.3529666;-10.166032;-48.333276;-9.97411;-67.810139;4.83;206.5;6;300.0;-9.952389;-67.848331
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;1;0.0;-6.650431;-52.603543
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;2;60.0;-14.317854;-37.776992
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;3;120.0;-30.68248;-35.846991
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;4;180.0;-39.923891;-52.603543
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;5;240.0;-30.68248;-69.360095
TO HOST Data Centers;-10.2048941;-48.3529666;-26.482678;-51.990545;-23.287161;-52.603543;1849.92;12.6;6;300.0;-14.317854;-67.430094
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;1;0.0;-22.731841;-46.144669
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;2;60.0;-22.742901;-46.123894
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;3;120.0;-22.765024;-46.123891
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;4;180.0;-22.776087;-46.144669
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;5;240.0;-22.765024;-46.165447
NETWISE EMPRESAS;-20.0346344;-45.5247215;-20.021321;-45.543546;-22.753964;-46.144669;2.46;126.97;6;300.0;-22.742901;-46.165444
