ano,mes,uf,nome_uf,regiao,tipo_consumo,consumo,numero_consumidores
2007,3,DF,Distrito Federal,Centro-Oeste,Industrial,35943,1583
2007,3,DF,Distrito Federal,Centro-Oeste,Outros,87824,13806
2007,3,DF,Distrito Federal,Centro-Oeste,Residencial,139035,658290
2007,3,DF,Distrito Federal,Centro-Oeste,Total,366255,
2007,4,DF,Distrito Federal,Centro-Oeste,Cativo,375454,
2007,4,DF,Distrito Federal,Centro-Oeste,Comercial,117771,78884
2007,4,DF,Distrito Federal,Centro-Oeste,Industrial,42476,1533
2007,4,DF,Distrito Federal,Centro-Oeste,Outros,96164,13539
2007,4,DF,Distrito Federal,Centro-Oeste,Residencial,147169,660379
2007,4,DF,Distrito Federal,Centro-Oeste,Total,403580,
2007,5,DF,Distrito Federal,Centro-Oeste,Cativo,349672,
2007,5,DF,Distrito Federal,Centro-Oeste,Comercial,107085,78571
2007,5,DF,Distrito Federal,Centro-Oeste,Industrial,43616,1550
2007,5,DF,Distrito Federal,Centro-Oeste,Outros,92190,13879
2007,5,DF,Distrito Federal,Centro-Oeste,Residencial,137026,661989
2007,5,DF,Distrito Federal,Centro-Oeste,Total,379917,
2007,6,DF,Distrito Federal,Centro-Oeste,Cativo,355115,
2007,6,DF,Distrito Federal,Centro-Oeste,Comercial,108560,78421
2007,6,DF,Distrito Federal,Centro-Oeste,Industrial,43308,1527
2007,6,DF,Distrito Federal,Centro-Oeste,Outros,90976,13659
2007,6,DF,Distrito Federal,Centro-Oeste,Residencial,141707,663796
2007,6,DF,Distrito Federal,Centro-Oeste,Total,384551,
2007,7,DF,Distrito Federal,Centro-Oeste,Cativo,348763,
2007,7,DF,Distrito Federal,Centro-Oeste,Comercial,100910,78608
2007,7,DF,Distrito Federal,Centro-Oeste,Industrial,44501,1536
2007,7,DF,Distrito Federal,Centro-Oeste,Outros,91151,13848
2007,7,DF,Distrito Federal,Centro-Oeste,Residencial,144054,666578
2007,7,DF,Distrito Federal,Centro-Oeste,Total,380616,
2007,8,DF,Distrito Federal,Centro-Oeste,Cativo,352941,
2007,8,DF,Distrito Federal,Centro-Oeste,Comercial,102956,78718
2007,8,DF,Distrito Federal,Centro-Oeste,Industrial,44823,1513
2007,8,DF,Distrito Federal,Centro-Oeste,Outros,100203,13698
2007,8,DF,Distrito Federal,Centro-Oeste,Residencial,136567,668789
2007,8,DF,Distrito Federal,Centro-Oeste,Total,384549,
2007,9,DF,Distrito Federal,Centro-Oeste,Cativo,365197,
2007,9,DF,Distrito Federal,Centro-Oeste,Comercial,107222,77976
2007,9,DF,Distrito Federal,Centro-Oeste,Industrial,45708,1489
2007,9,DF,Distrito Federal,Centro-Oeste,Outros,95730,13295
2007,9,DF,Distrito Federal,Centro-Oeste,Residencial,148369,666285
2007,9,DF,Distrito Federal,Centro-Oeste,Total,397029,
2007,10,DF,Distrito Federal,Centro-Oeste,Cativo,378832,
2007,10,DF,Distrito Federal,Centro-Oeste,Comercial,112019,78062
2007,10,DF,Distrito Federal,Centro-Oeste,Industrial,43111,1485
2007,10,DF,Distrito Federal,Centro-Oeste,Outros,104512,13272
2007,10,DF,Distrito Federal,Centro-Oeste,Residencial,148363,668307
2007,10,DF,Distrito Federal,Centro-Oeste,Total,408005,
2007,11,DF,Distrito Federal,Centro-Oeste,Cativo,379246,
2007,11,DF,Distrito Federal,Centro-Oeste,Comercial,116077,78284
2007,11,DF,Distrito Federal,Centro-Oeste,Industrial,42889,1484
2007,11,DF,Distrito Federal,Centro-Oeste,Outros,101491,13268
2007,11,DF,Distrito Federal,Centro-Oeste,Residencial,146349,670778
2007,11,DF,Distrito Federal,Centro-Oeste,Total,406806,
2007,12,DF,Distrito Federal,Centro-Oeste,Cativo,375393,
2007,12,DF,Distrito Federal,Centro-Oeste,Comercial,116875,78415
2007,12,DF,Distrito Federal,Centro-Oeste,Industrial,40797,1467
2007,12,DF,Distrito Federal,Centro-Oeste,Outros,96246,13275
2007,12,DF,Distrito Federal,Centro-Oeste,Residencial,147201,673322
2007,12,DF,Distrito Federal,Centro-Oeste,Total,401119,
2008,1,DF,Distrito Federal,Centro-Oeste,Cativo,365787,
2008,1,DF,Distrito Federal,Centro-Oeste,Comercial,113960,78819
2008,1,DF,Distrito Federal,Centro-Oeste,Industrial,43332,1529
2008,1,DF,Distrito Federal,Centro-Oeste,Outros,94103,13241
2008,1,DF,Distrito Federal,Centro-Oeste,Residencial,142963,675622
2008,1,DF,Distrito Federal,Centro-Oeste,Total,394358,
2008,2,DF,Distrito Federal,Centro-Oeste,Cativo,364079,
2008,2,DF,Distrito Federal,Centro-Oeste,Comercial,110121,78914
2008,2,DF,Distrito Federal,Centro-Oeste,Industrial,42337,1480
2008,2,DF,Distrito Federal,Centro-Oeste,Outros,92385,13235
2008,2,DF,Distrito Federal,Centro-Oeste,Residencial,146795,678192
2008,2,DF,Distrito Federal,Centro-Oeste,Total,391638,
2008,3,DF,Distrito Federal,Centro-Oeste,Cativo,351377,
2008,3,DF,Distrito Federal,Centro-Oeste,Comercial,108137,79119
2008,3,DF,Distrito Federal,Centro-Oeste,Industrial,40217,1480
2008,3,DF,Distrito Federal,Centro-Oeste,Outros,91281,13214
2008,3,DF,Distrito Federal,Centro-Oeste,Residencial,138052,680708
2008,3,DF,Distrito Federal,Centro-Oeste,Total,377687,
2008,4,DF,Distrito Federal,Centro-Oeste,Cativo,378681,
2008,4,DF,Distrito Federal,Centro-Oeste,Comercial,116197,79446
2008,4,DF,Distrito Federal,Centro-Oeste,Industrial,46941,1487
2008,4,DF,Distrito Federal,Centro-Oeste,Outros,97896,13089
2008,4,DF,Distrito Federal,Centro-Oeste,Residencial,149516,683777
2008,4,DF,Distrito Federal,Centro-Oeste,Total,410550,
2008,5,DF,Distrito Federal,Centro-Oeste,Cativo,379513,
2008,5,DF,Distrito Federal,Centro-Oeste,Comercial,115668,79631
2008,5,DF,Distrito Federal,Centro-Oeste,Industrial,46033,1484
2008,5,DF,Distrito Federal,Centro-Oeste,Outros,98883,13114
2008,5,DF,Distrito Federal,Centro-Oeste,Residencial,149909,685990
2008,5,DF,Distrito Federal,Centro-Oeste,Total,410493,
2008,6,DF,Distrito Federal,Centro-Oeste,Cativo,382414,
2008,6,DF,Distrito Federal,Centro-Oeste,Comercial,114039,79964
2008,6,DF,Distrito Federal,Centro-Oeste,Industrial,44575,1479
2008,6,DF,Distrito Federal,Centro-Oeste,Outros,101647,13167
2008,6,DF,Distrito Federal,Centro-Oeste,Residencial,151248,689225
2008,6,DF,Distrito Federal,Centro-Oeste,Total,411509,
2008,7,DF,Distrito Federal,Centro-Oeste,Cativo,367632,
2008,7,DF,Distrito Federal,Centro-Oeste,Comercial,108544,80693
2008,7,DF,Distrito Federal,Centro-Oeste,Industrial,45865,1478
2008,7,DF,Distrito Federal,Centro-Oeste,Outros,98968,13425
2008,7,DF,Distrito Federal,Centro-Oeste,Residencial,145353,694066
