cnpj_distribuidora,ano,sigla_distribuidora,consumo_kwh
27707397000102,2018,CERCI,10068493.0
27707397000102,2019,CERCI,41907375.0
27707397000102,2020,CERCI,43537659.0
27707397000102,2021,CERCI,43167436.0
27707397000102,2022,CERCI,41917666.0
27707397000102,2023,CERCI,41758819.0
28152650000171,2010,EDP ES,8978360577.0
28152650000171,2011,EDP ES,9682199845.0
28152650000171,2012,EDP ES,9658848139.0
28152650000171,2013,EDP ES,11118114368.0
28152650000171,2014,EDP ES,10418065505.0
28152650000171,2015,EDP ES,10625538717.0
28152650000171,2016,EDP ES,9457839829.0
28152650000171,2017,EDP ES,9296214851.0
28152650000171,2018,EDP ES,9650658528.0
28152650000171,2019,EDP ES,9789554240.0
28152650000171,2020,EDP ES,9016495102.0
28152650000171,2021,EDP ES,16464218041.0
28152650000171,2022,EDP ES,9774384202.0
28152650000171,2023,EDP ES,10235408459.0
28610236000169,2018,CERAL ARARUAMA,2740971.0
28610236000169,2019,CERAL ARARUAMA,17205724.0
28610236000169,2020,CERAL ARARUAMA,18223727.0
28610236000169,2021,CERAL ARARUAMA,19080810.0
28610236000169,2022,CERAL ARARUAMA,19464405.0
28610236000169,2023,CERAL ARARUAMA,20582778.0
30460297000139,2018,CASTRO-DIS,6450082.0
30460297000139,2019,CASTRO-DIS,41416181.0
30460297000139,2020,CASTRO-DIS,43855097.0
30460297000139,2021,CASTRO-DIS,52648070.0
30460297000139,2022,CASTRO-DIS,52010931.0
30460297000139,2023,CASTRO-DIS,48117454.0
31465487000101,2010,CERES,13338648.0
31465487000101,2011,CERES,14431200.0
31465487000101,2012,CERES,15295452.0
31465487000101,2013,CERES,15777469.0
31465487000101,2014,CERES,17598180.0
31465487000101,2015,CERES,18887236.0
31465487000101,2016,CERES,18113057.0
31465487000101,2017,CERES,18632299.0
31465487000101,2018,CERES,18570120.0
31465487000101,2019,CERES,18822701.0
31465487000101,2020,CERES,18971262.0
31465487000101,2021,CERES,19991960.0
31465487000101,2022,CERES,19819459.0
31465487000101,2023,CERES,19868386.0
33050071000158,2010,ENEL RJ,9724503161.0
33050071000158,2011,ENEL RJ,10044494406.0
33050071000158,2012,ENEL RJ,10528983246.0
33050071000158,2013,ENEL RJ,10838185755.0
33050071000158,2014,ENEL RJ,11429121965.0
33050071000158,2015,ENEL RJ,11377732568.0
