site_id,papel,pareado_com,ano,ano_relativo_ao_inicio_obra,fase,classe,percentual
ascenty-osasco,tratamento,ascenty-osasco,2022,2,durante,construida_urbana,63.1528
ascenty-osasco,tratamento,ascenty-osasco,2022,2,durante,solo_exposto_obras,0.88
ascenty-osasco,tratamento,ascenty-osasco,2022,2,durante,vegetacao_densa,19.9626
ascenty-osasco,tratamento,ascenty-osasco,2022,2,durante,vegetacao_rala,15.0647
ascenty-osasco,tratamento,ascenty-osasco,2023,3,durante,agua,1.0721
ascenty-osasco,tratamento,ascenty-osasco,2023,3,durante,construida_urbana,62.082800000000006
ascenty-osasco,tratamento,ascenty-osasco,2023,3,durante,solo_exposto_obras,0.6391
ascenty-osasco,tratamento,ascenty-osasco,2023,3,durante,vegetacao_densa,21.584999999999997
ascenty-osasco,tratamento,ascenty-osasco,2023,3,durante,vegetacao_rala,14.621
ascenty-paulinia,tratamento,ascenty-paulinia,2016,-3,pre,agua,1.1501000000000001
ascenty-paulinia,tratamento,ascenty-paulinia,2016,-3,pre,construida_urbana,40.7607
ascenty-paulinia,tratamento,ascenty-paulinia,2016,-3,pre,solo_exposto_obras,0.9726
ascenty-paulinia,tratamento,ascenty-paulinia,2016,-3,pre,vegetacao_densa,7.5783000000000005
ascenty-paulinia,tratamento,ascenty-paulinia,2016,-3,pre,vegetacao_rala,49.5383
ascenty-paulinia,tratamento,ascenty-paulinia,2017,-2,pre,agua,1.0103
ascenty-paulinia,tratamento,ascenty-paulinia,2017,-2,pre,construida_urbana,38.8504
ascenty-paulinia,tratamento,ascenty-paulinia,2017,-2,pre,solo_exposto_obras,0.9662999999999999
ascenty-paulinia,tratamento,ascenty-paulinia,2017,-2,pre,vegetacao_densa,7.9350000000000005
ascenty-paulinia,tratamento,ascenty-paulinia,2017,-2,pre,vegetacao_rala,51.2379
ascenty-paulinia,tratamento,ascenty-paulinia,2018,-1,pre,agua,0.9384999999999999
ascenty-paulinia,tratamento,ascenty-paulinia,2018,-1,pre,construida_urbana,40.868300000000005
ascenty-paulinia,tratamento,ascenty-paulinia,2018,-1,pre,solo_exposto_obras,0.9807
ascenty-paulinia,tratamento,ascenty-paulinia,2018,-1,pre,vegetacao_densa,8.8978
ascenty-paulinia,tratamento,ascenty-paulinia,2018,-1,pre,vegetacao_rala,48.3147
ascenty-paulinia,tratamento,ascenty-paulinia,2019,0,durante,agua,0.9457
ascenty-paulinia,tratamento,ascenty-paulinia,2019,0,durante,construida_urbana,36.2562
ascenty-paulinia,tratamento,ascenty-paulinia,2019,0,durante,solo_exposto_obras,0.6893
ascenty-paulinia,tratamento,ascenty-paulinia,2019,0,durante,vegetacao_densa,12.4243
ascenty-paulinia,tratamento,ascenty-paulinia,2019,0,durante,vegetacao_rala,49.6845
ascenty-paulinia,tratamento,ascenty-paulinia,2020,1,pos,agua,0.8785
ascenty-paulinia,tratamento,ascenty-paulinia,2020,1,pos,construida_urbana,39.1131
ascenty-paulinia,tratamento,ascenty-paulinia,2020,1,pos,solo_exposto_obras,0.8425999999999999
ascenty-paulinia,tratamento,ascenty-paulinia,2020,1,pos,vegetacao_densa,9.7207
ascenty-paulinia,tratamento,ascenty-paulinia,2020,1,pos,vegetacao_rala,49.4451
ascenty-paulinia,tratamento,ascenty-paulinia,2021,2,pos,agua,0.7646
ascenty-paulinia,tratamento,ascenty-paulinia,2021,2,pos,construida_urbana,43.3424
ascenty-paulinia,tratamento,ascenty-paulinia,2021,2,pos,solo_exposto_obras,1.2881
ascenty-paulinia,tratamento,ascenty-paulinia,2021,2,pos,vegetacao_densa,6.2256
ascenty-paulinia,tratamento,ascenty-paulinia,2021,2,pos,vegetacao_rala,48.3793
ascenty-paulinia,tratamento,ascenty-paulinia,2022,3,pos,agua,0.7655000000000001
ascenty-paulinia,tratamento,ascenty-paulinia,2022,3,pos,construida_urbana,40.2471
ascenty-paulinia,tratamento,ascenty-paulinia,2022,3,pos,solo_exposto_obras,1.1259
ascenty-paulinia,tratamento,ascenty-paulinia,2022,3,pos,vegetacao_densa,7.9108
ascenty-paulinia,tratamento,ascenty-paulinia,2022,3,pos,vegetacao_rala,49.9507
ascenty-sumare,tratamento,ascenty-sumare,2014,-3,pre,agua,0.45399999999999996
ascenty-sumare,tratamento,ascenty-sumare,2014,-3,pre,construida_urbana,46.199200000000005
ascenty-sumare,tratamento,ascenty-sumare,2014,-3,pre,solo_exposto_obras,2.8628
ascenty-sumare,tratamento,ascenty-sumare,2014,-3,pre,vegetacao_densa,2.7654
ascenty-sumare,tratamento,ascenty-sumare,2014,-3,pre,vegetacao_rala,47.7186
ascenty-sumare,tratamento,ascenty-sumare,2015,-2,pre,agua,0.5452
ascenty-sumare,tratamento,ascenty-sumare,2015,-2,pre,construida_urbana,42.9082
ascenty-sumare,tratamento,ascenty-sumare,2015,-2,pre,solo_exposto_obras,1.9582
ascenty-sumare,tratamento,ascenty-sumare,2015,-2,pre,vegetacao_densa,4.9129
ascenty-sumare,tratamento,ascenty-sumare,2015,-2,pre,vegetacao_rala,49.675599999999996
ascenty-sumare,tratamento,ascenty-sumare,2016,-1,pre,agua,0.6203000000000001
ascenty-sumare,tratamento,ascenty-sumare,2016,-1,pre,construida_urbana,47.0998
ascenty-sumare,tratamento,ascenty-sumare,2016,-1,pre,solo_exposto_obras,2.0618000000000003
ascenty-sumare,tratamento,ascenty-sumare,2016,-1,pre,vegetacao_densa,3.4007
ascenty-sumare,tratamento,ascenty-sumare,2016,-1,pre,vegetacao_rala,46.8174
ascenty-sumare,tratamento,ascenty-sumare,2017,0,durante,agua,0.5479
ascenty-sumare,tratamento,ascenty-sumare,2017,0,durante,construida_urbana,49.9285
ascenty-sumare,tratamento,ascenty-sumare,2017,0,durante,solo_exposto_obras,2.1637
ascenty-sumare,tratamento,ascenty-sumare,2017,0,durante,vegetacao_densa,3.1567
ascenty-sumare,tratamento,ascenty-sumare,2017,0,durante,vegetacao_rala,44.203199999999995
ascenty-sumare,tratamento,ascenty-sumare,2018,1,durante,agua,0.5005
ascenty-sumare,tratamento,ascenty-sumare,2018,1,durante,construida_urbana,46.7039
ascenty-sumare,tratamento,ascenty-sumare,2018,1,durante,solo_exposto_obras,2.3085
ascenty-sumare,tratamento,ascenty-sumare,2018,1,durante,vegetacao_densa,3.4159
ascenty-sumare,tratamento,ascenty-sumare,2018,1,durante,vegetacao_rala,47.071200000000005
ascenty-sumare,tratamento,ascenty-sumare,2019,2,durante,agua,0.505
ascenty-sumare,tratamento,ascenty-sumare,2019,2,durante,construida_urbana,44.254599999999996
ascenty-sumare,tratamento,ascenty-sumare,2019,2,durante,solo_exposto_obras,1.7696
ascenty-sumare,tratamento,ascenty-sumare,2019,2,durante,vegetacao_densa,5.8352
ascenty-sumare,tratamento,ascenty-sumare,2019,2,durante,vegetacao_rala,47.6356
ascenty-sumare,tratamento,ascenty-sumare,2020,3,pos,agua,0.44780000000000003
ascenty-sumare,tratamento,ascenty-sumare,2020,3,pos,construida_urbana,47.4618
ascenty-sumare,tratamento,ascenty-sumare,2020,3,pos,solo_exposto_obras,2.153
ascenty-sumare,tratamento,ascenty-sumare,2020,3,pos,vegetacao_densa,3.894
ascenty-sumare,tratamento,ascenty-sumare,2020,3,pos,vegetacao_rala,46.0434
ascenty-vinhedo,tratamento,ascenty-vinhedo,2016,-3,pre,agua,1.3044
ascenty-vinhedo,tratamento,ascenty-vinhedo,2016,-3,pre,construida_urbana,23.6174
ascenty-vinhedo,tratamento,ascenty-vinhedo,2016,-3,pre,solo_exposto_obras,0.9325
ascenty-vinhedo,tratamento,ascenty-vinhedo,2016,-3,pre,vegetacao_densa,17.3405
ascenty-vinhedo,tratamento,ascenty-vinhedo,2016,-3,pre,vegetacao_rala,56.8053
ascenty-vinhedo,tratamento,ascenty-vinhedo,2017,-2,pre,agua,1.2477
ascenty-vinhedo,tratamento,ascenty-vinhedo,2017,-2,pre,construida_urbana,24.8181
ascenty-vinhedo,tratamento,ascenty-vinhedo,2017,-2,pre,solo_exposto_obras,0.9795
ascenty-vinhedo,tratamento,ascenty-vinhedo,2017,-2,pre,vegetacao_densa,16.0854
ascenty-vinhedo,tratamento,ascenty-vinhedo,2017,-2,pre,vegetacao_rala,56.8692
ascenty-vinhedo,tratamento,ascenty-vinhedo,2018,-1,pre,agua,1.1477
ascenty-vinhedo,tratamento,ascenty-vinhedo,2018,-1,pre,construida_urbana,24.5164
ascenty-vinhedo,tratamento,ascenty-vinhedo,2018,-1,pre,solo_exposto_obras,0.8599000000000001
ascenty-vinhedo,tratamento,ascenty-vinhedo,2018,-1,pre,vegetacao_densa,14.875
ascenty-vinhedo,tratamento,ascenty-vinhedo,2018,-1,pre,vegetacao_rala,58.6009
ascenty-vinhedo,tratamento,ascenty-vinhedo,2019,0,durante,agua,1.1941
ascenty-vinhedo,tratamento,ascenty-vinhedo,2019,0,durante,construida_urbana,22.2487
ascenty-vinhedo,tratamento,ascenty-vinhedo,2019,0,durante,solo_exposto_obras,0.6006
ascenty-vinhedo,tratamento,ascenty-vinhedo,2019,0,durante,vegetacao_densa,22.4713
ascenty-vinhedo,tratamento,ascenty-vinhedo,2019,0,durante,vegetacao_rala,53.4853
ascenty-vinhedo,tratamento,ascenty-vinhedo,2020,1,durante,agua,1.2086
ascenty-vinhedo,tratamento,ascenty-vinhedo,2020,1,durante,construida_urbana,21.912100000000002
ascenty-vinhedo,tratamento,ascenty-vinhedo,2020,1,durante,solo_exposto_obras,0.8874
ascenty-vinhedo,tratamento,ascenty-vinhedo,2020,1,durante,vegetacao_densa,19.917199999999998
ascenty-vinhedo,tratamento,ascenty-vinhedo,2020,1,durante,vegetacao_rala,56.0747
ascenty-vinhedo,tratamento,ascenty-vinhedo,2021,2,pos,agua,1.1253000000000002
ascenty-vinhedo,tratamento,ascenty-vinhedo,2021,2,pos,construida_urbana,26.0327
ascenty-vinhedo,tratamento,ascenty-vinhedo,2021,2,pos,solo_exposto_obras,0.9519
ascenty-vinhedo,tratamento,ascenty-vinhedo,2021,2,pos,vegetacao_densa,15.253900000000002
ascenty-vinhedo,tratamento,ascenty-vinhedo,2021,2,pos,vegetacao_rala,56.6362
ascenty-vinhedo,tratamento,ascenty-vinhedo,2022,3,pos,agua,1.1637
ascenty-vinhedo,tratamento,ascenty-vinhedo,2022,3,pos,construida_urbana,25.0965
ascenty-vinhedo,tratamento,ascenty-vinhedo,2022,3,pos,solo_exposto_obras,0.5863
ascenty-vinhedo,tratamento,ascenty-vinhedo,2022,3,pos,vegetacao_densa,18.9634
