nome_datacenter;operadora;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status;endereco_corrigido;municipio_corrigido;estado_corrigido;pais_corrigido;cep_corrigido;status_geocode
Ascenty - Rio de Janeiro RJ1;Ascenty Data Centers;-22.8059441;-43.3480909;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/;15.0;15.0;;;2017.0;Retrofitted;Multi-tenant (data centers only);1564.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;;;;;;;;;0;0;7;0;0;RIO01;7592.0;bloqueado;ok;R. Nova, 215 - Parque Juriti, São João de Meriti - RJ, 25585-055, Brazil;São João de Meriti;RJ;Brazil;25585-055;OK
Ascenty- Rio de Janeiro RJ2;Ascenty Data Centers;-22.8050847;-43.3484313;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/;3.0;3.0;3493.0;3493.0;2021.0;Retrofitted;;1564.0;N+2;1.0;1.0;1.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;;;;;;;;;0;0;5;0;0;RIO02;7593.0;bloqueado;ok;R. Mercúrio, 1736 - Pavuna, Rio de Janeiro - RJ, 21532-470, Brazil;Rio de Janeiro;RJ;Brazil;21532-470;OK
Ascenty - Sao Paulo SP1;Ascenty Data Centers;-23.4920417;-46.7759971;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/;6.0;6.0;3493.0;3493.0;2017.0;Retrofitted;Multi-tenant (data centers only);1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;50;2;1;SP01;7579.0;ok;ok;Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06276-125, Brazil;Osasco;SP;Brazil;06276-125;OK
Ascenty - Sao Paulo SP2;Ascenty Data Centers;-23.4923861;-46.7771987;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/;14.0;14.0;8491.0;8491.0;2017.0;Retrofitted;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;120;2;0;SP02;7580.0;ok;ok;Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06276-125, Brazil;Osasco;SP;Brazil;06276-125;OK
Ascenty - Sao Paulo SP3;Ascenty Data Centers;-23.491232;-46.7759313;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/;4.0;4.0;3995.0;3995.0;2020.0;Retrofitted;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;93;1;0;SP03;7581.0;ok;ok;Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06276-125, Brazil;Osasco;SP;Brazil;06276-125;OK
Avato Joinville;Ávato;-26.26412048317817;-48.85177190343191;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/joinville/avato-joinville/;;;300.0;300.0;2012.0;Retrofitted;Multi-tenant (mixed use);;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;0;0;4;0;0;;6362.0;bloqueado;ok;Av. Santos Dumont, 935 - Santo Antônio, Joinville - SC, 89223-001, Brazil;Joinville;SC;Brazil;89223-001;OK
B3 Data Center;B3 S.A. – Brasil, Bolsa, Balcão;-23.4662448;-46.863993;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/;;;;;;;;;;1.0;;1.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;bloqueado;ok;R. Ricardo Prudente de Aquino, 85 - Res. Tambore III, Santana de Parnaíba - SP, Brazil;Santana de Parnaíba;SP;Brazil;;OK
BRDrive Data Center;BRDrive;-27.0019197;-51.16753689999999;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/videira/brdrive-data-center/;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;1.0;;;;;;0;0;1;0;0;;5888.0;ok;ok;R. Frederico Bortolaz, 971 - Panazzolo, Videira - SC, 89566-060, Brazil;Videira;SC;Brazil;89566-060;OK
BRDrive - Santa Catarina - VDA;BRDrive;-27.0018484;-51.1675386;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/;0.5;0.5;100.0;100.0;2015.0;;Multi-tenant (data centers only);;N+1;1.0;1.0;1.0;3.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;0.0;1.0;1.0;0.0;0;0;0;1;0;;;ok;ok;R. Frederico Bortolaz, 971 - Panazzolo, Videira - SC, 89566-060, Brazil;Videira;SC;Brazil;89566-060;OK
Pecém Data Center;Casa dos Ventos;-3.653321;-38.8251428;1;1;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/;900.0;900.0;;;2027.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;85WF+MW Catuana, Brazil;Caucaia;CE;Brazil;;OK
