site_id,municipio,uf,ano,lst_media_celsius,n_observacoes,fonte,colecao_gee,data_extracao
scala-sgigsm01,São João de Meriti,RJ,2025,29.81,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2016,23.85,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2017,24.97,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2018,24.58,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2019,25.28,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2020,25.07,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2021,24.83,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2022,23.96,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2023,24.06,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2024,23.84,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-spoapa01,Porto Alegre,RS,2025,22.13,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2016,28.8,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2017,28.52,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2018,28.8,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2019,29.35,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2020,28.96,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2021,28.48,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2022,27.58,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2023,28.2,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2024,27.48,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-tambore,Barueri,SP,2025,24.41,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2016,27.32,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2017,27.43,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2018,27.12,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2019,27.41,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2020,28.45,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2021,27.43,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2022,26.27,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2023,26.93,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2024,26.43,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-jundiai,Jundiaí,SP,2025,23.96,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2016,31.34,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2017,31.08,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2018,31.43,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2019,31.67,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2020,32.27,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2021,32.18,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2022,30.37,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2023,29.97,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2024,30.07,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-paulinia,Paulínia,SP,2025,27.21,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2016,30.26,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2017,29.08,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2018,29.79,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2019,29.92,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2020,30.45,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2021,29.83,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2022,29.42,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2023,29.54,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2024,29.43,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2025,27.84,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
