site_id,ano,lst_celsius
ascenty-hortolandia,2019,35.548
ascenty-hortolandia,2019,36.84
ascenty-hortolandia,2019,36.246
ascenty-hortolandia,2019,36.368
ascenty-hortolandia,2019,33.851
ascenty-hortolandia,2019,34.287
ascenty-hortolandia,2019,32.68
ascenty-hortolandia,2019,32.148
ascenty-hortolandia,2019,32.872
ascenty-hortolandia,2019,29.859
ascenty-hortolandia,2019,29.543
ascenty-hortolandia,2019,30.887
ascenty-hortolandia,2019,28.545
ascenty-hortolandia,2019,24.294
ascenty-hortolandia,2019,25.299
ascenty-hortolandia,2019,23.041
ascenty-hortolandia,2019,23.268
ascenty-hortolandia,2019,27.236
ascenty-hortolandia,2019,26.616
ascenty-hortolandia,2019,26.513
ascenty-hortolandia,2019,21.185
ascenty-hortolandia,2019,24.411
ascenty-hortolandia,2019,26.701
ascenty-hortolandia,2019,26.859
ascenty-hortolandia,2019,29.295
ascenty-hortolandia,2019,27.931
ascenty-hortolandia,2019,28.313
ascenty-hortolandia,2019,29.953
ascenty-hortolandia,2019,32.809
ascenty-hortolandia,2019,36.189
ascenty-hortolandia,2019,31.059
ascenty-hortolandia,2019,37.865
ascenty-hortolandia,2019,37.275
ascenty-hortolandia,2019,37.996
ascenty-hortolandia,2019,39.372
ascenty-hortolandia,2019,40.543
ascenty-hortolandia,2019,32.312
ascenty-hortolandia,2019,38.452
ascenty-hortolandia,2019,34.264
ascenty-hortolandia,2019,36.441
ascenty-hortolandia,2019,27.97
ascenty-hortolandia,2019,35.882
ascenty-hortolandia,2019,36.696
ascenty-hortolandia,2020,35.52
ascenty-hortolandia,2020,34.407
ascenty-hortolandia,2020,34.103
ascenty-hortolandia,2020,35.613
ascenty-hortolandia,2020,33.538
ascenty-hortolandia,2020,34.477
ascenty-hortolandia,2020,35.422
ascenty-hortolandia,2020,31.959
ascenty-hortolandia,2020,32.143
ascenty-hortolandia,2020,34.355
ascenty-hortolandia,2020,31.889
ascenty-hortolandia,2020,31.406
ascenty-hortolandia,2020,30.778
ascenty-hortolandia,2020,31.51
ascenty-hortolandia,2020,31.45
ascenty-hortolandia,2020,28.489
ascenty-hortolandia,2020,28.41
ascenty-hortolandia,2020,29.166
ascenty-hortolandia,2020,24.262
ascenty-hortolandia,2020,26.623
ascenty-hortolandia,2020,27.575
ascenty-hortolandia,2020,27.24
ascenty-hortolandia,2020,20.824
ascenty-hortolandia,2020,24.396
ascenty-hortolandia,2020,26.054
ascenty-hortolandia,2020,27.914
ascenty-hortolandia,2020,28.712
ascenty-hortolandia,2020,29.119
ascenty-hortolandia,2020,32.037
ascenty-hortolandia,2020,26.842
ascenty-hortolandia,2020,31.968
ascenty-hortolandia,2020,34.701
ascenty-hortolandia,2020,35.215
ascenty-hortolandia,2020,34.034
ascenty-hortolandia,2020,38.888
ascenty-hortolandia,2020,39.038
ascenty-hortolandia,2020,33.85
ascenty-hortolandia,2020,36.762
ascenty-hortolandia,2020,35.063
ascenty-hortolandia,2020,39.526
ascenty-hortolandia,2020,34.264
ascenty-hortolandia,2020,38.503
ascenty-hortolandia,2020,35.446
ascenty-hortolandia,2020,33.437
ascenty-hortolandia,2020,36.12
ascenty-hortolandia,2020,33.527
ascenty-hortolandia,2021,36.308
ascenty-hortolandia,2021,33.527
ascenty-hortolandia,2021,33.976
ascenty-hortolandia,2021,35.112
ascenty-hortolandia,2021,32.91
ascenty-hortolandia,2021,32.771
ascenty-hortolandia,2021,35.412
ascenty-hortolandia,2021,32.757
ascenty-hortolandia,2021,32.044
ascenty-hortolandia,2021,34.281
ascenty-hortolandia,2021,33.629
ascenty-hortolandia,2021,31.614
ascenty-hortolandia,2021,31.203
ascenty-hortolandia,2021,29.287
ascenty-hortolandia,2021,29.882
ascenty-hortolandia,2021,30.06
ascenty-hortolandia,2021,27.433
ascenty-hortolandia,2021,26.564
ascenty-hortolandia,2021,23.035
ascenty-hortolandia,2021,28.094
ascenty-hortolandia,2021,24.546
ascenty-hortolandia,2021,23.995
ascenty-hortolandia,2021,23.717
ascenty-hortolandia,2021,25.127
ascenty-hortolandia,2021,26.218
ascenty-hortolandia,2021,27.296
ascenty-hortolandia,2021,23.736
ascenty-hortolandia,2021,27.491
ascenty-hortolandia,2021,31.076
ascenty-hortolandia,2021,33.494
ascenty-hortolandia,2021,31.149
ascenty-hortolandia,2021,34.532
ascenty-hortolandia,2021,35.661
ascenty-hortolandia,2021,37.262
ascenty-hortolandia,2021,37.509
ascenty-hortolandia,2021,35.649
ascenty-hortolandia,2021,34.427
ascenty-hortolandia,2021,34.445
ascenty-hortolandia,2021,37.747
ascenty-hortolandia,2021,39.726
ascenty-hortolandia,2021,36.229
ascenty-hortolandia,2021,35.702
ascenty-hortolandia,2021,37.179
ascenty-hortolandia,2021,39.412
ascenty-hortolandia,2021,35.989
ascenty-hortolandia,2021,36.547
ascenty-hortolandia,2022,32.386
ascenty-hortolandia,2022,35.309
ascenty-hortolandia,2022,34.245
ascenty-hortolandia,2022,32.689
ascenty-hortolandia,2022,33.278
ascenty-hortolandia,2022,33.693
ascenty-hortolandia,2022,35.349
ascenty-hortolandia,2022,32.617
ascenty-hortolandia,2022,30.773
ascenty-hortolandia,2022,32.14
ascenty-hortolandia,2022,32.83
ascenty-hortolandia,2022,31.006
ascenty-hortolandia,2022,29.008
ascenty-hortolandia,2022,31.127
ascenty-hortolandia,2022,28.666
ascenty-hortolandia,2022,28.705
ascenty-hortolandia,2022,23.978
ascenty-hortolandia,2022,27.5
ascenty-hortolandia,2022,25.161
ascenty-hortolandia,2022,22.885
ascenty-hortolandia,2022,25.455
ascenty-hortolandia,2022,25.562
ascenty-hortolandia,2022,24.687
ascenty-hortolandia,2022,22.389
ascenty-hortolandia,2022,28.313
ascenty-hortolandia,2022,26.03
ascenty-hortolandia,2022,26.361
ascenty-hortolandia,2022,27.55
ascenty-hortolandia,2022,30.548
ascenty-hortolandia,2022,29.96
ascenty-hortolandia,2022,31.318
ascenty-hortolandia,2022,28.198
ascenty-hortolandia,2022,29.822
ascenty-hortolandia,2022,31.604
ascenty-hortolandia,2022,34.341
ascenty-hortolandia,2022,32.441
ascenty-hortolandia,2022,34.187
ascenty-hortolandia,2022,36.269
ascenty-hortolandia,2022,34.69
ascenty-hortolandia,2022,35.206
ascenty-hortolandia,2022,34.661
ascenty-hortolandia,2022,34.3
ascenty-hortolandia,2023,32.42
ascenty-hortolandia,2023,32.744
ascenty-hortolandia,2023,33.075
ascenty-hortolandia,2023,33.978
ascenty-hortolandia,2023,29.617
ascenty-hortolandia,2023,30.3
ascenty-hortolandia,2023,32.398
ascenty-hortolandia,2023,33.073
ascenty-hortolandia,2023,31.51
ascenty-hortolandia,2023,31.692
ascenty-hortolandia,2023,31.825
ascenty-hortolandia,2023,29.195
ascenty-hortolandia,2023,27.135
ascenty-hortolandia,2023,27.866
ascenty-hortolandia,2023,27.679
ascenty-hortolandia,2023,24.816
ascenty-hortolandia,2023,25.303
ascenty-hortolandia,2023,26.601
ascenty-hortolandia,2023,24.132
ascenty-hortolandia,2023,26.025
ascenty-hortolandia,2023,21.06
ascenty-hortolandia,2023,23.962
ascenty-hortolandia,2023,22.465
ascenty-hortolandia,2023,24.156
ascenty-hortolandia,2023,26.862
ascenty-hortolandia,2023,26.79
ascenty-hortolandia,2023,27.607
ascenty-hortolandia,2023,27.846
ascenty-hortolandia,2023,30.545
ascenty-hortolandia,2023,27.567
ascenty-hortolandia,2023,31.41
ascenty-hortolandia,2023,31.747
ascenty-hortolandia,2023,35.631
ascenty-hortolandia,2023,31.554
ascenty-hortolandia,2023,31.956
ascenty-hortolandia,2023,32.892
ascenty-hortolandia,2023,32.878
ascenty-hortolandia,2023,34.372
ascenty-hortolandia,2023,38.254
ascenty-hortolandia,2023,33.338
ascenty-hortolandia,2023,37.232
ascenty-hortolandia,2023,35.062
ascenty-hortolandia,2023,35.39
ascenty-hortolandia,2023,36.204
ascenty-hortolandia,2023,33.719
ascenty-hortolandia,2024,35.124
ascenty-hortolandia,2024,34.734
