site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,8.244,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,8.218,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2021,96,100.0,8.181,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2022,96,100.0,8.188,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2023,98,100.0,8.134,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2024,96,100.0,8.162,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2025,116,100.0,8.296,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2013,5,100.0,0.98,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2014,8,99.8883,0.985,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2015,7,100.0,0.975,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2016,6,99.8981,0.981,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2017,7,99.9821,0.985,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2018,4,99.9955,0.983,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2019,6,99.8847,0.975,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2020,6,100.0,0.984,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,landsat,2021,8,100.0,0.984,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2019,24,100.0,6.902,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2020,25,100.0,6.927,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2021,24,100.0,7.004,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2022,25,100.0,6.931,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2023,25,100.0,6.968,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2024,25,100.0,6.918,ok
scala-sgigsm01,1,Sudeste,Mata Atlântica,sentinel2,2025,31,100.0,7.006,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2013,7,95.137,0.925,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2014,4,99.7302,0.954,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2015,11,99.9946,0.972,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2016,8,92.8592,0.906,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2017,7,99.9964,0.947,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2018,6,99.9991,0.957,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2019,5,99.4953,0.957,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2020,5,99.9408,0.955,ok
scala-spoapa01,1,Sul,Mata Atlântica,landsat,2021,8,96.4717,0.939,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2019,49,100.0,6.735,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2020,49,100.0,6.787,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2021,49,100.0,6.877,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2022,49,100.0,6.753,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2023,50,100.0,6.765,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2024,48,100.0,6.751,ok
scala-spoapa01,1,Sul,Mata Atlântica,sentinel2,2025,60,100.0,6.781,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2013,7,99.8195,0.979,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2014,7,99.0812,0.979,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2015,7,99.9884,0.981,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2016,8,99.4387,0.982,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2017,8,99.9946,0.981,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2018,6,99.9866,0.99,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2019,7,99.9991,0.987,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2020,6,99.9866,0.98,ok
scala-tambore,1,Sudeste,Mata Atlântica,landsat,2021,7,99.9884,0.989,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2019,54,100.0,6.934,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2020,48,100.0,6.881,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2021,48,100.0,6.941,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2022,48,100.0,6.932,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2023,48,100.0,6.909,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2024,50,100.0,6.862,ok
scala-tambore,1,Sudeste,Mata Atlântica,sentinel2,2025,57,100.0,7.012,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2013,7,99.4478,0.965,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2014,7,98.7988,0.963,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2015,7,99.983,0.966,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2016,8,99.1708,0.962,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2017,8,99.8879,0.968,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2018,6,99.6845,0.971,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2019,7,99.9095,0.969,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2020,6,99.9014,0.967,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,landsat,2021,7,99.9839,0.972,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2019,147,100.0,7.17,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2020,144,100.0,7.209,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2021,144,100.0,7.299,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2022,144,100.0,7.178,ok
