par,horizonte,variavel,efeito_liquido
ascenty-jundiai,2,numero_empresas,3922.0
ascenty-jundiai,3,prop_vegetacao_densa,-2.0999999999993246e-05
ascenty-jundiai,3,prop_vegetacao_rala,-0.001358999999999999
ascenty-jundiai,3,prop_solo_exposto_obras,-0.005202
ascenty-jundiai,3,prop_construida_urbana,0.007197999999999982
ascenty-jundiai,3,prop_agua,-0.0006159999999999994
ascenty-jundiai,3,lst_media_celsius,0.09120000000000061
ascenty-jundiai,3,populacao,34514.0
ascenty-jundiai,3,emprego_formal_total,17368.0
ascenty-jundiai,3,pib_mil_reais,19332156.0
ascenty-jundiai,3,numero_empresas,12737.0
ascenty-maracanau,-1,prop_vegetacao_densa,0.0
ascenty-maracanau,-1,prop_vegetacao_rala,0.0
ascenty-maracanau,-1,prop_solo_exposto_obras,0.0
ascenty-maracanau,-1,prop_construida_urbana,0.0
ascenty-maracanau,-1,prop_agua,0.0
ascenty-maracanau,-1,lst_media_celsius,0.0
ascenty-maracanau,-1,populacao,
ascenty-maracanau,-1,emprego_formal_total,0.0
ascenty-maracanau,-1,pib_mil_reais,0.0
ascenty-maracanau,-1,numero_empresas,0.0
ascenty-maracanau,0,prop_vegetacao_densa,0.01087100000000002
ascenty-maracanau,0,prop_vegetacao_rala,-0.021247000000000016
ascenty-maracanau,0,prop_solo_exposto_obras,-0.0005190000000000004
ascenty-maracanau,0,prop_construida_urbana,0.009238000000000052
ascenty-maracanau,0,prop_agua,0.0016550000000000002
ascenty-maracanau,0,lst_media_celsius,-0.011199999999995214
ascenty-maracanau,0,populacao,
ascenty-maracanau,0,emprego_formal_total,-6596.0
ascenty-maracanau,0,pib_mil_reais,-93625.0
ascenty-maracanau,0,numero_empresas,184.0
ascenty-maracanau,1,prop_vegetacao_densa,0.004513000000000017
ascenty-maracanau,1,prop_vegetacao_rala,-0.02951799999999999
ascenty-maracanau,1,prop_solo_exposto_obras,0.02186099999999999
ascenty-maracanau,1,prop_construida_urbana,0.010822000000000054
ascenty-maracanau,1,prop_agua,-0.007678000000000004
ascenty-maracanau,1,lst_media_celsius,0.3165000000000049
ascenty-maracanau,1,populacao,
ascenty-maracanau,1,emprego_formal_total,-4662.0
ascenty-maracanau,1,pib_mil_reais,612586.0
ascenty-maracanau,1,numero_empresas,261.0
ascenty-maracanau,2,prop_vegetacao_densa,0.002748000000000028
ascenty-maracanau,2,prop_vegetacao_rala,-0.04461799999999999
ascenty-maracanau,2,prop_solo_exposto_obras,0.017921999999999993
ascenty-maracanau,2,prop_construida_urbana,0.02829200000000011
ascenty-maracanau,2,prop_agua,-0.004344999999999998
ascenty-maracanau,2,lst_media_celsius,1.0596999999999994
ascenty-maracanau,2,populacao,
ascenty-maracanau,2,emprego_formal_total,-1155.0
ascenty-maracanau,2,pib_mil_reais,1116410.0
ascenty-maracanau,2,numero_empresas,-221.0
ascenty-maracanau,3,prop_vegetacao_densa,0.013432
ascenty-maracanau,3,prop_vegetacao_rala,-0.048375
ascenty-maracanau,3,prop_solo_exposto_obras,0.028708999999999988
ascenty-maracanau,3,prop_construida_urbana,0.011732000000000117
ascenty-maracanau,3,prop_agua,-0.005499999999999998
ascenty-maracanau,3,lst_media_celsius,0.05260000000000531
ascenty-maracanau,3,populacao,
ascenty-maracanau,3,emprego_formal_total,-4063.0
ascenty-maracanau,3,pib_mil_reais,1137176.0
ascenty-maracanau,3,numero_empresas,-221.0
ascenty-osasco,-3,prop_vegetacao_densa,0.019899000000000028
ascenty-osasco,-3,prop_vegetacao_rala,-0.019932000000000033
ascenty-osasco,-3,prop_solo_exposto_obras,0.0016350000000000002
ascenty-osasco,-3,prop_construida_urbana,-0.0007659999999999889
ascenty-osasco,-3,prop_agua,-0.0008339999999999997
ascenty-osasco,-3,lst_media_celsius,-0.1424999999999983
ascenty-osasco,-3,populacao,7666.0
ascenty-osasco,-3,emprego_formal_total,-2824.0
ascenty-osasco,-3,pib_mil_reais,-3183476.0
ascenty-osasco,-3,numero_empresas,-2039.0
ascenty-osasco,-2,prop_vegetacao_densa,0.01758900000000002
ascenty-osasco,-2,prop_vegetacao_rala,-0.01739099999999999
ascenty-osasco,-2,prop_solo_exposto_obras,-0.0007279999999999986
ascenty-osasco,-2,prop_construida_urbana,0.0014720000000000288
ascenty-osasco,-2,prop_agua,-0.000941
ascenty-osasco,-2,lst_media_celsius,-0.43629999999999924
ascenty-osasco,-2,populacao,1780.0
ascenty-osasco,-2,emprego_formal_total,-2118.0
ascenty-osasco,-2,pib_mil_reais,-5405043.0
ascenty-osasco,-2,numero_empresas,-2268.0
ascenty-osasco,-1,prop_vegetacao_densa,0.0
ascenty-osasco,-1,prop_vegetacao_rala,0.0
ascenty-osasco,-1,prop_solo_exposto_obras,0.0
ascenty-osasco,-1,prop_construida_urbana,0.0
